\database\database_achieveInfo.msbt
AchieveName_001	{r[ひゃくせんれんま]}百戦錬磨{/r}
AdviceInfo_001	スシ{r[ざら]}皿{/r}は{r[みじか]}短{/r}く{r[なんど]}何度{/r}もつなげるより、\nとにかく{r[なが]}長{/r}くつなげた{r[ほう]}方{/r}が{r[ゆうり]}有利{/r}じゃ！
AdviceInfo_002	スシは{r[み]}見{/r}のがしてしまっても{r[だいじょうぶ]}大丈夫{/r}。\n{r[なが]}長{/r}くつなげることを{r[こころ]}心{/r}がけるのじゃ。
AdviceInfo_003	たくさんの{r[さら]}皿{/r}をつなぐほど、\n{r[まつり]}祭{/r}ゲージの{r[あ]}上{/r}がり{r[かた]}方{/r}も{r[おお]}大{/r}きいのじゃ！
AdviceInfo_004	スシ{r[まつりちゅう]}祭中{/r}は{r[さら]}皿{/r}シュートで{r[てき]}敵{/r}に{r[あた]}与{/r}える\nダメージが1.5{r[ばい]}倍{/r}になるのじゃ！
AdviceInfo_005	{r[おな]}同{/r}じスシだけで{r[さら]}皿{/r}をつなげると、\nいつもより{r[こうげきりょく]}攻撃力{/r}が３{r[わり]}割{/r}アップじゃ！
AdviceInfo_006	７{r[さらいじょう]}皿以上{/r}つなげると、{r[さいご]}最後{/r}に{r[さら]}皿{/r}を{r[と]}取{/r}った\nレーンに{r[にじざら]}虹皿{/r}が{r[で]}出{/r}てくるのじゃ！
AdviceInfo_007	{r[にじざら]}虹皿{/r}をふくめて{r[つ]}積{/r}まれた{r[さら]}皿{/r}は、\n{r[てき]}敵{/r}の{r[こうげき]}攻撃{/r}でも{r[けっ]}決{/r}してくずれないのじゃ！
AdviceInfo_008	スシガミのレベルがアップすると、\n{r[だ]}出{/r}す{r[さら]}皿{/r}のグレードが{r[あ]}上{/r}がっていくぞ！
AdviceInfo_009	{r[おな]}同{/r}じ{r[いろ]}色{/r}の{r[さら]}皿{/r}を{r[つづ]}続{/r}けて{r[あ]}当{/r}てるとコンボと\nなり、{r[あた]}与{/r}えるダメージが{r[ふ]}増{/r}えるのじゃ！
AdviceInfo_010	フルーツを{r[た]}食{/r}べると、HPが{r[すこ]}少{/r}し{r[かいふく]}回復{/r}\nする。{r[おぼ]}覚{/r}えておくといいじゃろう…。
AdviceInfo_011	「バトルの{r[ごくい]}極意{/r}」にはバトルで{r[か]}勝{/r}つ\nためのヒントが{r[まんさい]}満載{/r}じゃぞ！
AdviceInfo_012	「スキルのおふだ」をスシガミに{r[つか]}使{/r}う\nと、スキルLvをアップできるのじゃ！
AdviceInfo_013	{r[か]}勝{/r}てぬ{r[とき]}時{/r}は{r[いぜん]}以前{/r}のステージでスターを\n{r[あつ]}集{/r}めて{r[けいけん]}経験{/r}をつむのもいいぞ…
AdviceInfo_014	{r[いぎょう]}偉業{/r}を{r[たっせい]}達成{/r}し、スシライカーランクを\n{r[あ]}上{/r}げればスシガミと{r[けいやく]}契約{/r}しやすくなる。
AdviceInfo_015	「スシライカーランク」ボタンを{r[お]}押{/r}すと\n{r[つぎ]}次{/r}のランクまでの{r[じょうけん]}条件{/r}がわかるのじゃ。
AdviceInfo_016	スシライカーランクが{r[あ]}上{/r}げられる{r[とき]}時{/r}…\nスシガミ{r[じんじゃ]}神社{/r}に！マークが{r[で]}出{/r}るのじゃ。
\database\database_area.msbt
areaName_area01	{r[きょうわこく]}共和国{/r}
areaName_area02	{r[かいがん]}海岸{/r}エリア
areaName_area03	{r[かざん]}火山{/r}エリア
areaName_area04	{r[ていこくにし]}帝国西{/r}エリア
areaName_area04Sub	{r[ていこくにし]}帝国西{/r}エリア{r[おくち]}奥地{/r}
areaName_area04Camp	{r[やえい]}野営{/r}キャンプ
areaName_area05	{r[ゆきやま]}雪山{/r}エリア
areaName_area06	{r[ていこくほんど]}帝国本土{/r}エリア
areaName_area06Sub	{r[ていこくみなみ]}帝国南{/r}エリア
areaName_area07	{r[ていこくきゅうでん]}帝国宮殿{/r}
areaName_area08	{r[なぞ]}謎{/r}の{r[こじま]}小島{/r}
areaName_home	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}のかくれ{r[さと]}里{/r}
areaText_area01	{r[あたた]}暖{/r}かな{r[きこう]}気候{/r}の{r[しぜん]}自然{/r}ゆたかな{r[くに]}国{/r}。\n{r[せかい]}世界{/r}スシ{r[たいせん]}大戦{/r}で{r[ていこく]}帝国{/r}に{r[はいぼく]}敗北{/r}。\n{r[め]}目{/r}ぼしいスシをすべてうばわれ、\nスシ{r[ふもう]}不毛{/r}の{r[ち]}地{/r}と{r[い]}言{/r}われていたが…
areaText_area02	まぶしい{r[たいよう]}太陽{/r}が{r[て]}照{/r}りつける{r[ちいき]}地域{/r}。\n{r[ていこく]}帝国{/r}の{r[しはいか]}支配下{/r}にある。\nかつてリゾートだった{r[しま]}島{/r}・コドー\nも{r[いま]}今{/r}や{r[ていこくぐん]}帝国軍{/r}の{r[とりで]}砦{/r}となっている。
areaText_area03	{r[も]}燃{/r}えたぎる{r[かつかざん]}活火山{/r}・{r[ひゃっきかざん]}百鬼火山{/r}の\nある{r[ちいき]}地域{/r}。{r[ていこく]}帝国{/r}の{r[しはいか]}支配下{/r}にある。\n{r[みなみ]}南{/r}には{r[おんせん]}温泉{/r}、{r[きた]}北{/r}には{r[ほうせきこうざん]}宝石鉱山{/r}が\nあり、{r[いがい]}意外{/r}にもにぎわっている。
areaText_area04	かつて{r[ゆうぼくみん]}遊牧民{/r}がくらしていた{r[かんそう]}乾燥{/r}\n{r[ちたい]}地帯{/r}だが、{r[いま]}今{/r}は{r[ゆた]}豊{/r}かな{r[のうち]}農地{/r}に。\n{r[ていこくほんど]}帝国本土{/r}へ{r[つづ]}続{/r}く{r[はし]}橋{/r}は、{r[なんこうふらく]}難攻不落{/r}の\n{r[ようさい]}要塞{/r}ナバによって{r[まも]}守{/r}られている。
areaText_area04Sub	{r[ていこく]}帝国{/r}の{r[しはい]}支配{/r}の{r[め]}目{/r}がゆきとどき\nにくい{r[にし]}西{/r}の{r[おくち]}奥地{/r}には、{r[きょうわこく]}共和国{/r}\nだったころの{r[ぶんか]}文化{/r}が{r[いま]}今{/r}も{r[のこ]}残{/r}り、\nかくれ{r[じんじゃ]}神社{/r}も{r[そんざい]}存在{/r}するという。
areaText_area04Camp	スシ{r[かいほうせんせん]}解放戦線{/r}の{r[ていこくせいぶこうりゃく]}帝国西部攻略{/r}の\n{r[きょてん]}拠点{/r}となっているキャンプ。\n{r[さくせん]}作戦{/r}は{r[じゅんちょう]}順調{/r}に{r[すす]}進{/r}んでいるかの\nように{r[み]}見{/r}えたのだが…。
areaText_area05	{r[いちねん]}一年{/r}を{r[とお]}通{/r}して{r[ゆきぶか]}雪深{/r}い{r[やま]}山{/r}、{r[りっかさん]}六花山{/r}を\n{r[ちゅうしん]}中心{/r}とした{r[ちいき]}地域{/r}。{r[やま]}山{/r}を{r[こ]}越{/r}えた{r[さき]}先{/r}の\n{r[こじま]}小島{/r}には、{r[ていこくぐん]}帝国軍{/r}の{r[ひみつしせつ]}秘密施設{/r}が\nあると{r[い]}言{/r}われている…。
areaText_area06	{r[しんようじゅ]}針葉樹{/r}の{r[もり]}森{/r}を{r[き]}切{/r}り{r[ひら]}開{/r}いて{r[つく]}作{/r}られた\n{r[こうだい]}広大{/r}な{r[こくど]}国土{/r}は、テクノロジーと\nきびしい{r[とうせい]}統制{/r}で{r[はってん]}発展{/r}をとげた。\nその{r[とうぶ]}東部{/r}には{r[しゅと]}首都{/r}と{r[きゅうでん]}宮殿{/r}がある。
areaText_area06Sub	{r[ゆた]}豊{/r}かなスシ{r[しげん]}資源{/r}を{r[もと]}求{/r}めた{r[ていこく]}帝国{/r}が\n{r[なんしん]}南進{/r}して{r[しはいか]}支配下{/r}に{r[い]}入{/r}れた{r[とち]}土地{/r}。\n{r[なんたん]}南端{/r}にある{r[ぐんじしせつ]}軍事施設{/r}では、{r[ひみつ]}秘密{/r}の\n{r[けんきゅう]}研究{/r}が{r[おこな]}行{/r}われているという…。
areaText_area07	{r[ていこく]}帝国{/r}を{r[す]}統{/r}べる{r[こうてい]}皇帝{/r}の{r[きょじょう]}居城{/r}であり、\n{r[ていこくぐん]}帝国軍{/r}の{r[そうしれいぶ]}総司令部{/r}がおかれている\n{r[しっこく]}漆黒{/r}の{r[しろ]}城{/r}。{r[こらい]}古来{/r}より{r[つづ]}続{/r}く{r[こうていちょくぞく]}皇帝直属{/r}\nの{r[しんえいたい]}親衛隊{/r}によって{r[まも]}守{/r}られている。
areaText_area08	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}と{r[どうよう]}同様{/r}、スシ{r[しんこう]}信仰{/r}の\n{r[いせき]}遺跡{/r}が{r[のこ]}残{/r}る{r[ちい]}小{/r}さな{r[しま]}島{/r}。\n{r[むじん]}無人{/r}の{r[しま]}島{/r}のはずが、{r[さいきん]}最近{/r}ここで\n{r[なぞ]}謎{/r}の{r[ばくはつ]}爆発{/r}があったらしい…。
\database\database_chapter.msbt
chapterName_chapter01	{r[だい]}第{/r}1{r[しょう]}章{/r}
chapterName_chapter02	{r[だい]}第{/r}2{r[しょう]}章{/r}
chapterName_chapter03	{r[だい]}第{/r}3{r[しょう]}章{/r}
chapterName_chapter04	{r[だい]}第{/r}4{r[しょう]}章{/r}
chapterName_chapter04_02	{r[だい]}第{/r}4{r[しょう]}章{/r}
chapterName_chapter05	{r[だい]}第{/r}5{r[しょう]}章{/r}
chapterName_chapter06	{r[だい]}第{/r}6{r[しょう]}章{/r}
chapterName_chapter06_02	{r[だい]}第{/r}6{r[しょう]}章{/r}
chapterName_chapter07	{r[だい]}第{/r}7{r[しょう]}章{/r}
chapterName_chapter08	{r[だい]}第{/r}8{r[しょう]}章{/r}
chapterName_chapter09	{r[だい]}第{/r}9{r[しょう]}章{/r}
\database\database_cmn.msbt
SushiName_None	なし
SushiName_Kappa	カッパ{r[ま]}巻{/r}き
SushiFavPowerName_Kappa	カリウム
SushiFavPowerName_Kappa_lc	カリウム
SushiName_Tamago	たまご
SushiFavPowerName_Tamago	ビオチン
SushiFavPowerName_Tamago_lc	ビオチン
SushiName_Inari	いなりずし
SushiFavPowerName_Inari	モリブデン
SushiFavPowerName_Inari_lc	モリブデン
SushiName_CornWarship	コーン{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_CornWarship	リノールサン
SushiFavPowerName_CornWarship_lc	リノールサン
SushiName_Aji	アジ
SushiFavPowerName_Aji	イノシンサン
SushiFavPowerName_Aji_lc	イノシンサン
SushiName_Ika	いか
SushiFavPowerName_Ika	リジン
SushiFavPowerName_Ika_lc	リジン
SushiName_Salmon	サーモン
SushiFavPowerName_Salmon	アスタキサンチン
SushiFavPowerName_Salmon_lc	アスタキサンチン
SushiName_EbimayoWarship	えびマヨ{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_EbimayoWarship	ナトリウム
SushiFavPowerName_EbimayoWarship_lc	ナトリウム
SushiName_Ebi	えび
SushiFavPowerName_Ebi	アルギニン
SushiFavPowerName_Ebi_lc	アルギニン
SushiName_Tako	たこ
SushiFavPowerName_Tako	コバラミン
SushiFavPowerName_Tako_lc	コバラミン
SushiName_NegitoroWarship	ねぎとろ{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_NegitoroWarship	アスコルビンサン
SushiFavPowerName_NegitoroWarship_lc	アスコルビンサン
SushiName_Katuo	かつお
SushiFavPowerName_Katuo	テツブン
SushiFavPowerName_Katuo_lc	テツブン
SushiName_SalmonRoast	あぶりサーモン
SushiFavPowerName_SalmonRoast	アスタキサンチンZ
SushiFavPowerName_SalmonRoast_lc	アスタキサンチンZ
SushiName_Buri	ぶり
SushiFavPowerName_Buri	ディーエイチエー
SushiFavPowerName_Buri_lc	ディーエイチエー
SushiName_CaliforniaRoll	カリフォルニアロール
SushiFavPowerName_CaliforniaRoll	ヨード
SushiFavPowerName_CaliforniaRoll_lc	ヨード
SushiName_Bintoro	びんとろ
SushiFavPowerName_Bintoro	ナイアシン
SushiFavPowerName_Bintoro_lc	ナイアシン
SushiName_Engawa	えんがわ
SushiFavPowerName_Engawa	リボフラビン
SushiFavPowerName_Engawa_lc	リボフラビン
SushiName_EbiRoast	あぶりえび
SushiFavPowerName_EbiRoast	アルギニンZ
SushiFavPowerName_EbiRoast_lc	アルギニンZ
SushiName_Hotate	ホタテ
SushiFavPowerName_Hotate	タウリン
SushiFavPowerName_Hotate_lc	タウリン
SushiName_Amaebi	あまえび
SushiFavPowerName_Amaebi	αトコフェロール
SushiFavPowerName_Amaebi_lc	αトコフェロール
SushiName_Maguro	まぐろ
SushiFavPowerName_Maguro	ヒスチジン
SushiFavPowerName_Maguro_lc	ヒスチジン
SushiName_Ebitenroll	えび{r[てん]}天{/r}ロール
SushiFavPowerName_Ebitenroll	セレン
SushiFavPowerName_Ebitenroll_lc	セレン
SushiName_EngawaRoast	あぶりえんがわ
SushiFavPowerName_EngawaRoast	リボフラビンZ
SushiFavPowerName_EngawaRoast_lc	リボフラビンZ
SushiName_Anago	あなご
SushiFavPowerName_Anago	レチノール
SushiFavPowerName_Anago_lc	レチノール
SushiName_ShirasuWarship	{r[なま]}生{/r}しらす{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_ShirasuWarship	カルシウム
SushiFavPowerName_ShirasuWarship_lc	カルシウム
SushiName_Torosalmon	トロサーモン
SushiFavPowerName_Torosalmon	アスタキサンチンX
SushiFavPowerName_Torosalmon_lc	アスタキサンチンX
SushiName_Rainbowroll	レインボーロール
SushiFavPowerName_Rainbowroll	オレインサン
SushiFavPowerName_Rainbowroll_lc	オレインサン
SushiName_HotateRoast	あぶりホタテ
SushiFavPowerName_HotateRoast	タウリンZ
SushiFavPowerName_HotateRoast_lc	タウリンZ
SushiName_Ikura	いくら{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_Ikura	チアミン
SushiFavPowerName_Ikura_lc	チアミン
SushiName_Kinmedai	きんめだい
SushiFavPowerName_Kinmedai	リン
SushiFavPowerName_Kinmedai_lc	リン
SushiName_Tarabagani	かに
SushiFavPowerName_Tarabagani	グルタミンサン
SushiFavPowerName_Tarabagani_lc	グルタミンサン
SushiName_Unagi	うなぎ
SushiFavPowerName_Unagi	アエン
SushiFavPowerName_Unagi_lc	アエン
SushiName_Uni	うに{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_Uni	ヨウサン
SushiFavPowerName_Uni_lc	ヨウサン
SushiName_BotanEbi	ぼたんえび
SushiFavPowerName_BotanEbi	クロム
SushiFavPowerName_BotanEbi_lc	クロム
SushiName_Chuutoro	{r[ちゅう]}中{/r}トロ
SushiFavPowerName_Chuutoro	ピリドキシン
SushiFavPowerName_Chuutoro_lc	ピリドキシン
SushiName_Ootoro	{r[おお]}大{/r}トロ
SushiFavPowerName_Ootoro	イーピーエー
SushiFavPowerName_Ootoro_lc	イーピーエー
SushiName_LegendTorosalmon	{r[でんせつ]}伝説{/r}のトロサーモン
SushiFavPowerName_LegendTorosalmon	パントテンサン
SushiFavPowerName_LegendTorosalmon_lc	パントテンサン
SushiName_Mikan	カットオレンジ
SushiName_Strawberry	いちご
SushiName_PineCut	カットパイン
SushiName_MelonCut	カットメロン
SushiName_KiwiCut	カットキウイ
SushiName_MangoCut	カットマンゴー
SushiName_Melon	{r[こうきゅう]}高級{/r}メロン
SushiName_FruitsAssort	{r[も]}盛{/r}り{r[あ]}合{/r}わせフルーツ
DishColorName00	ミズイロ
DishColorName01	キイロ
DishColorName02	ムラサキ
DishColorName03	ミドリ
DishColorName04	アオ
DishColorName05	アカ
DishColorName06	ギン
DishColorName07	クロ
DishColorName08	キン
EnemyName_Ablicos	{r[しょうぐん]}将軍{/r}アブリコス
EnemyName_001	テイコク{r[へい]}兵{/r}イワノフ
EnemyName_002	{r[たいちょう]}隊長{/r}レオノフ
EnemyName_Kojiro_00	コジロー
EnemyName_004	テイコク{r[へい]}兵{/r}コブリン
EnemyName_005	テイコク{r[へい]}兵{/r}クドリン
EnemyName_006	テイコク{r[へい]}兵{/r}カレリン
EnemyName_007	{r[たいちょう]}隊長{/r}ガガーリン
EnemyName_Ryoma	リョーマ
EnemyName_009	トツゲキ{r[へい]}兵{/r}ボルチン
EnemyName_010	コウサク{r[へい]}兵{/r}ザモチン
EnemyName_011	トクシュ{r[へい]}兵{/r}バフチン
EnemyName_012	{r[たいちょう]}隊長{/r}パカーチン
EnemyName_Kojiro	テイコク{r[へい]}兵{/r}コジロー
EnemyName_014	トツゲキ{r[へい]}兵{/r}ペシコフ
EnemyName_015	コウサク{r[へい]}兵{/r}トンコフ
EnemyName_016	トクシュ{r[へい]}兵{/r}ゴリコフ
EnemyName_017	{r[たいちょう]}隊長{/r}ナボコフ
EnemyName_019	{r[しれいかん]}司令官{/r}ゴーリキー
EnemyName_Yulia	テイコク{r[へい]}兵{/r}ユーリア
EnemyName_021	トツゲキ{r[へい]}兵{/r}ウラノフ
EnemyName_022	コウサク{r[へい]}兵{/r}ミロノフ
EnemyName_023	トクシュ{r[へい]}兵{/r}サガノフ
EnemyName_024	{r[たいちょう]}隊長{/r}アントノフ
EnemyName_026	トツゲキ{r[へい]}兵{/r}コベキン
EnemyName_027	コウサク{r[へい]}兵{/r}パンキン
EnemyName_028	トクシュ{r[へい]}兵{/r}ブリキン
EnemyName_029	{r[たいちょう]}隊長{/r}ポチョムキン
EnemyName_032	トツゲキ{r[へい]}兵{/r}シデンコ
EnemyName_033	コウサク{r[へい]}兵{/r}ゴレンコ
EnemyName_034	トクシュ{r[へい]}兵{/r}リセンコ
EnemyName_035	{r[たいちょう]}隊長{/r}エロシェンコ
EnemyName_036	？？？
EnemyName_Charao	チャラオ
EnemyName_037	トツゲキ{r[へい]}兵{/r}ユスポワ
EnemyName_038	コウサク{r[へい]}兵{/r}ポポワ
EnemyName_039	トクシュ{r[へい]}兵{/r}シレポワ
EnemyName_040	{r[たいちょう]}隊長{/r}シャラポワ
EnemyName_042	トツゲキ{r[へい]}兵{/r}カザコフ
EnemyName_043	コウサク{r[へい]}兵{/r}ルイコフ
EnemyName_044	トクシュ{r[へい]}兵{/r}マルコフ
EnemyName_045	{r[たいちょう]}隊長{/r}カリンニコフ
EnemyName_047	トツゲキ{r[へい]}兵{/r}シャモワ
EnemyName_048	コウサク{r[へい]}兵{/r}クリモワ
EnemyName_049	トクシュ{r[へい]}兵{/r}ソモワ
EnemyName_050	{r[たいちょう]}隊長{/r}マクシモワ
EnemyName_Bambooque	{r[しょうぐん]}将軍{/r}バンブーク
EnemyName_053	トツゲキ{r[へい]}兵{/r}アラポフ
EnemyName_054	コウサク{r[へい]}兵{/r}カルポフ
EnemyName_055	トクシュ{r[へい]}兵{/r}トレポフ
EnemyName_056	{r[たいちょう]}隊長{/r}アンドロポフ
EnemyName_058	トツゲキ{r[へい]}兵{/r}ジン
EnemyName_059	コウサク{r[へい]}兵{/r}ダン
EnemyName_060	トクシュ{r[へい]}兵{/r}バン
EnemyName_061	{r[たいちょう]}隊長{/r}カシン
EnemyName_062	{r[でんじほう]}電磁砲{/r}トカレフ
EnemyName_063	トツゲキ{r[へい]}兵{/r}トルホフ
EnemyName_064	コウサク{r[へい]}兵{/r}オブホフ
EnemyName_065	トクシュ{r[へい]}兵{/r}スーホフ
EnemyName_066	{r[たいちょう]}隊長{/r}チェーホフ
EnemyName_067	{r[でんじほう]}電磁砲{/r}マカロフ
EnemyName_068	トツゲキ{r[へい]}兵{/r}ヤマモト
EnemyName_069	コウサク{r[へい]}兵{/r}アキモト
EnemyName_070	トクシュ{r[へい]}兵{/r}ミヤモト
EnemyName_071	{r[たいちょう]}隊長{/r}サカモト
EnemyName_Grom	{r[げんすい]}元帥{/r}グロム
EnemyName_074	トツゲキ{r[へい]}兵{/r}カリモフ
EnemyName_075	コウサク{r[へい]}兵{/r}アダモフ
EnemyName_076	トクシュ{r[へい]}兵{/r}ソロモフ
EnemyName_077	{r[たいちょう]}隊長{/r}アシモフ
EnemyName_079	トツゲキ{r[へい]}兵{/r}レスコフ
EnemyName_080	コウサク{r[へい]}兵{/r}ユーコフ
EnemyName_081	トクシュ{r[へい]}兵{/r}メンコフ
EnemyName_082	{r[たいちょう]}隊長{/r}マレンコフ
EnemyName_084	トツゲキ{r[へい]}兵{/r}クスミン
EnemyName_085	コウサク{r[へい]}兵{/r}ドレミン
EnemyName_086	トクシュ{r[へい]}兵{/r}テルミン
EnemyName_087	{r[たいちょう]}隊長{/r}リューミン
EnemyName_089	トツゲキ{r[へい]}兵{/r}アロノフ
EnemyName_090	コウサク{r[へい]}兵{/r}ロマノフ
EnemyName_091	トクシュ{r[へい]}兵{/r}レザノフ
EnemyName_092	{r[たいちょう]}隊長{/r}ストロガノフ
EnemyName_Sosuna	{r[しょうぐん]}将軍{/r}ソスナ
EnemyName_095	トツゲキ{r[へい]}兵{/r}ゲルマン
EnemyName_096	コウサク{r[へい]}兵{/r}ローマン
EnemyName_097	トクシュ{r[へい]}兵{/r}ベルマン
EnemyName_098	{r[たいちょう]}隊長{/r}ペレルマン
EnemyName_099	テイコク{r[へい]}兵{/r}イワノフ
EnemyName_100	トツゲキ{r[へい]}兵{/r}ペシコフ
EnemyName_101	コウサク{r[へい]}兵{/r}トンコフ
EnemyName_102	トクシュ{r[へい]}兵{/r}ゴリコフ
EnemyName_103	{r[たいちょう]}隊長{/r}ナボコフ
EnemyName_104	{r[えいへい]}衛兵{/r}ゴーリキー
EnemyName_106	トツゲキ{r[へい]}兵{/r}コベキン
EnemyName_107	コウサク{r[へい]}兵{/r}パンキン
EnemyName_108	トクシュ{r[へい]}兵{/r}ブリキン
EnemyName_109	{r[たいちょう]}隊長{/r}ポチョムキン
EnemyName_110	{r[かんしゅ]}看守{/r}ヴォルコフ
EnemyName_112	トツゲキ{r[へい]}兵{/r}レドネフ
EnemyName_113	コウサク{r[へい]}兵{/r}カメネフ
EnemyName_114	トクシュ{r[へい]}兵{/r}バラネフ
EnemyName_115	{r[たいちょう]}隊長{/r}ツルゲネフ
EnemyName_117	トツゲキ{r[へい]}兵{/r}ムロイ
EnemyName_118	コウサク{r[へい]}兵{/r}ルツコイ
EnemyName_119	トクシュ{r[へい]}兵{/r}マツイ
EnemyName_120	{r[たいちょう]}隊長{/r}トルストイ
EnemyName_121	{r[でんじほう]}電磁砲{/r}ステチキン
EnemyName_122	トツゲキ{r[へい]}兵{/r}アドロフ
EnemyName_123	コウサク{r[へい]}兵{/r}カルロフ
EnemyName_124	トクシュ{r[へい]}兵{/r}トポロフ
EnemyName_125	{r[たいちょう]}隊長{/r}カスパロフ
EnemyName_126	トツゲキ{r[へい]}兵{/r}ナカムラ
EnemyName_127	コウサク{r[へい]}兵{/r}ニシムラ
EnemyName_128	トクシュ{r[へい]}兵{/r}シマムラ
EnemyName_129	{r[たいちょう]}隊長{/r}ユキムラ
EnemyName_130	{r[でんじほう]}電磁砲{/r}ドラグノフ
EnemyName_132	トツゲキ{r[へい]}兵{/r}ヤン
EnemyName_133	コウサク{r[へい]}兵{/r}ルビン
EnemyName_134	トクシュ{r[へい]}兵{/r}リシン
