\database\database_area.msbt
areaName_area01	共和国
\database\database_cmn.msbt
SushiName_None	なし
SushiName_Kappa	カッパ巻き
SushiFavPowerName_Kappa	カリウム
SushiFavPowerName_Kappa_lc	カリウム
SushiName_Tamago	たまご
SushiFavPowerName_Tamago	ビオチン
SushiFavPowerName_Tamago_lc	ビオチン
SushiName_Inari	いなりずし
SushiFavPowerName_Inari	モリブデン
SushiFavPowerName_Inari_lc	モリブデン
SushiName_CornWarship	コーン軍艦
SushiFavPowerName_CornWarship	リノールサン
SushiFavPowerName_CornWarship_lc	リノールサン
SushiName_Aji	アジ
SushiFavPowerName_Aji	イノシンサン
SushiFavPowerName_Aji_lc	イノシンサン
SushiName_Ika	いか
SushiFavPowerName_Ika	リジン
SushiFavPowerName_Ika_lc	リジン
SushiName_Salmon	サーモン
SushiFavPowerName_Salmon	アスタキサンチン
SushiFavPowerName_Salmon_lc	アスタキサンチン
SushiName_EbimayoWarship	えびマヨ軍艦
SushiFavPowerName_EbimayoWarship	ナトリウム
SushiFavPowerName_EbimayoWarship_lc	ナトリウム
SushiName_Ebi	えび
SushiFavPowerName_Ebi	アルギニン
SushiFavPowerName_Ebi_lc	アルギニン
SushiName_Tako	たこ
SushiFavPowerName_Tako	コバラミン
SushiFavPowerName_Tako_lc	コバラミン
SushiName_NegitoroWarship	ねぎとろ軍艦
SushiFavPowerName_NegitoroWarship	アスコルビンサン
SushiFavPowerName_NegitoroWarship_lc	アスコルビンサン
SushiName_Katuo	かつお
SushiFavPowerName_Katuo	テツブン
SushiFavPowerName_Katuo_lc	テツブン
SushiName_SalmonRoast	あぶりサーモン
SushiFavPowerName_SalmonRoast	アスタキサンチンZ
SushiFavPowerName_SalmonRoast_lc	アスタキサンチンZ
SushiName_Buri	ぶり
SushiFavPowerName_Buri	ディーエイチエー
SushiFavPowerName_Buri_lc	ディーエイチエー
SushiName_CaliforniaRoll	カリフォルニアロール
SushiFavPowerName_CaliforniaRoll	ヨード
SushiFavPowerName_CaliforniaRoll_lc	ヨード
SushiName_Bintoro	びんとろ
SushiFavPowerName_Bintoro	ナイアシン
SushiFavPowerName_Bintoro_lc	ナイアシン
SushiName_Engawa	えんがわ
SushiFavPowerName_Engawa	リボフラビン
SushiFavPowerName_Engawa_lc	リボフラビン
SushiName_EbiRoast	あぶりえび
SushiFavPowerName_EbiRoast	アルギニンZ
SushiFavPowerName_EbiRoast_lc	アルギニンZ
SushiName_Hotate	ホタテ
SushiFavPowerName_Hotate	タウリン
SushiFavPowerName_Hotate_lc	タウリン
SushiName_Amaebi	あまえび
SushiFavPowerName_Amaebi	αトコフェロール
SushiFavPowerName_Amaebi_lc	αトコフェロール
SushiName_Maguro	まぐろ
SushiFavPowerName_Maguro	ヒスチジン
SushiFavPowerName_Maguro_lc	ヒスチジン
SushiName_Ebitenroll	えび天ロール
SushiFavPowerName_Ebitenroll	セレン
SushiFavPowerName_Ebitenroll_lc	セレン
SushiName_EngawaRoast	あぶりえんがわ
SushiFavPowerName_EngawaRoast	リボフラビンZ
SushiFavPowerName_EngawaRoast_lc	リボフラビンZ
SushiName_Anago	あなご
SushiFavPowerName_Anago	レチノール
SushiFavPowerName_Anago_lc	レチノール
SushiName_ShirasuWarship	生しらす軍艦
SushiFavPowerName_ShirasuWarship	カルシウム
SushiFavPowerName_ShirasuWarship_lc	カルシウム
SushiName_Torosalmon	トロサーモン
SushiFavPowerName_Torosalmon	アスタキサンチンX
SushiFavPowerName_Torosalmon_lc	アスタキサンチンX
SushiName_Rainbowroll	レインボーロール
SushiFavPowerName_Rainbowroll	オレインサン
SushiFavPowerName_Rainbowroll_lc	オレインサン
SushiName_HotateRoast	あぶりホタテ
SushiFavPowerName_HotateRoast	タウリンZ
SushiFavPowerName_HotateRoast_lc	タウリンZ
SushiName_Ikura	いくら軍艦
SushiFavPowerName_Ikura	チアミン
SushiFavPowerName_Ikura_lc	チアミン
SushiName_Kinmedai	きんめだい
SushiFavPowerName_Kinmedai	リン
SushiFavPowerName_Kinmedai_lc	リン
SushiName_Tarabagani	かに
SushiFavPowerName_Tarabagani	グルタミンサン
SushiFavPowerName_Tarabagani_lc	グルタミンサン
SushiName_Unagi	うなぎ
SushiFavPowerName_Unagi	アエン
SushiFavPowerName_Unagi_lc	アエン
SushiName_Uni	うに軍艦
SushiFavPowerName_Uni	ヨウサン
SushiFavPowerName_Uni_lc	ヨウサン
SushiName_BotanEbi	ぼたんえび
SushiFavPowerName_BotanEbi	クロム
SushiFavPowerName_BotanEbi_lc	クロム
SushiName_Chuutoro	中トロ
SushiFavPowerName_Chuutoro	ピリドキシン
SushiFavPowerName_Chuutoro_lc	ピリドキシン
SushiName_Ootoro	大トロ
SushiFavPowerName_Ootoro	イーピーエー
SushiFavPowerName_Ootoro_lc	イーピーエー
SushiName_LegendTorosalmon	伝説のトロサーモン
SushiFavPowerName_LegendTorosalmon	パントテンサン
SushiFavPowerName_LegendTorosalmon_lc	パントテンサン
SushiName_Mikan	カットオレンジ
SushiName_Strawberry	いちご
SushiName_PineCut	カットパイン
SushiName_MelonCut	カットメロン
SushiName_KiwiCut	カットキウイ
SushiName_MangoCut	カットマンゴー
SushiName_Melon	高級メロン
SushiName_FruitsAssort	盛り合わせフルーツ
DishColorName00	ミズイロ
DishColorName01	キイロ
DishColorName02	ムラサキ
DishColorName03	ミドリ
DishColorName04	アオ
DishColorName05	アカ
DishColorName06	ギン
DishColorName07	クロ
DishColorName08	キン
EnemyName_Ablicos	将軍アブリコス
EnemyName_001	テイコク兵イワノフ
EnemyName_002	隊長レオノフ
EnemyName_Kojiro_00	コジロー
EnemyName_004	テイコク兵コブリン
EnemyName_005	テイコク兵クドリン
EnemyName_006	テイコク兵カレリン
EnemyName_007	隊長ガガーリン
EnemyName_Ryoma	リョーマ
EnemyName_009	トツゲキ兵ボルチン
EnemyName_010	コウサク兵ザモチン
EnemyName_011	トクシュ兵バフチン
EnemyName_012	隊長パカーチン
EnemyName_Kojiro	テイコク兵コジロー
EnemyName_014	トツゲキ兵ペシコフ
EnemyName_015	コウサク兵トンコフ
EnemyName_016	トクシュ兵ゴリコフ
EnemyName_017	隊長ナボコフ
EnemyName_019	司令官ゴーリキー
EnemyName_Yulia	テイコク兵ユーリア
EnemyName_021	トツゲキ兵ウラノフ
EnemyName_022	コウサク兵ミロノフ
EnemyName_023	トクシュ兵サガノフ
EnemyName_024	隊長アントノフ
EnemyName_026	トツゲキ兵コベキン
EnemyName_027	コウサク兵パンキン
EnemyName_028	トクシュ兵ブリキン
EnemyName_029	隊長ポチョムキン
EnemyName_032	トツゲキ兵シデンコ
EnemyName_033	コウサク兵ゴレンコ
EnemyName_034	トクシュ兵リセンコ
EnemyName_035	隊長エロシェンコ
EnemyName_036	？？？
EnemyName_Charao	チャラオ
EnemyName_037	トツゲキ兵ユスポワ
EnemyName_038	コウサク兵ポポワ
EnemyName_039	トクシュ兵シレポワ
EnemyName_040	隊長シャラポワ
EnemyName_042	トツゲキ兵カザコフ
EnemyName_043	コウサク兵ルイコフ
EnemyName_044	トクシュ兵マルコフ
EnemyName_045	隊長カリンニコフ
EnemyName_047	トツゲキ兵シャモワ
EnemyName_048	コウサク兵クリモワ
EnemyName_049	トクシュ兵ソモワ
EnemyName_050	隊長マクシモワ
EnemyName_Bambooque	将軍バンブーク
EnemyName_053	トツゲキ兵アラポフ
EnemyName_054	コウサク兵カルポフ
EnemyName_055	トクシュ兵トレポフ
EnemyName_056	隊長アンドロポフ
EnemyName_058	トツゲキ兵ジン
EnemyName_059	コウサク兵ダン
EnemyName_060	トクシュ兵バン
EnemyName_061	隊長カシン
EnemyName_062	電磁砲トカレフ
EnemyName_063	トツゲキ兵トルホフ
EnemyName_064	コウサク兵オブホフ
EnemyName_065	トクシュ兵スーホフ
EnemyName_066	隊長チェーホフ
EnemyName_067	電磁砲マカロフ
EnemyName_068	トツゲキ兵ヤマモト
EnemyName_069	コウサク兵アキモト
EnemyName_070	トクシュ兵ミヤモト
EnemyName_071	隊長サカモト
EnemyName_Grom	元帥グロム
EnemyName_074	トツゲキ兵カリモフ
EnemyName_075	コウサク兵アダモフ
EnemyName_076	トクシュ兵ソロモフ
EnemyName_077	隊長アシモフ
EnemyName_079	トツゲキ兵レスコフ
EnemyName_080	コウサク兵ユーコフ
EnemyName_081	トクシュ兵メンコフ
EnemyName_082	隊長マレンコフ
EnemyName_084	トツゲキ兵クスミン
EnemyName_085	コウサク兵ドレミン
EnemyName_086	トクシュ兵テルミン
EnemyName_087	隊長リューミン
EnemyName_089	トツゲキ兵アロノフ
EnemyName_090	コウサク兵ロマノフ
EnemyName_091	トクシュ兵レザノフ
EnemyName_092	隊長ストロガノフ
EnemyName_Sosuna	将軍ソスナ
EnemyName_095	トツゲキ兵ゲルマン
EnemyName_096	コウサク兵ローマン
EnemyName_097	トクシュ兵ベルマン
EnemyName_098	隊長ペレルマン
EnemyName_099	テイコク兵イワノフ
EnemyName_100	トツゲキ兵ペシコフ
EnemyName_101	コウサク兵トンコフ
EnemyName_102	トクシュ兵ゴリコフ
EnemyName_103	隊長ナボコフ
EnemyName_104	衛兵ゴーリキー
EnemyName_106	トツゲキ兵コベキン
EnemyName_107	コウサク兵パンキン
EnemyName_108	トクシュ兵ブリキン
EnemyName_109	隊長ポチョムキン
EnemyName_110	看守ヴォルコフ
EnemyName_112	トツゲキ兵レドネフ
EnemyName_113	コウサク兵カメネフ
EnemyName_114	トクシュ兵バラネフ
EnemyName_115	隊長ツルゲネフ
EnemyName_117	トツゲキ兵ムロイ
EnemyName_118	コウサク兵ルツコイ
EnemyName_119	トクシュ兵マツイ
EnemyName_120	隊長トルストイ
EnemyName_121	電磁砲ステチキン
EnemyName_122	トツゲキ兵アドロフ
EnemyName_123	コウサク兵カルロフ
EnemyName_124	トクシュ兵トポロフ
EnemyName_125	隊長カスパロフ
EnemyName_126	トツゲキ兵ナカムラ
EnemyName_127	コウサク兵ニシムラ
EnemyName_128	トクシュ兵シマムラ
EnemyName_129	隊長ユキムラ
EnemyName_130	電磁砲ドラグノフ
EnemyName_132	トツゲキ兵ヤン
EnemyName_133	コウサク兵ルビン
EnemyName_134	トクシュ兵リシン
EnemyName_135	隊長ラスプーチン
EnemyName_137	トツゲキ兵シン
EnemyName_138	コウサク兵ハポン
EnemyName_139	トクシュ兵カーン
EnemyName_140	隊長アルスラン
EnemyName_141	四天王サルマン
EnemyName_142	四天王ラフマン
EnemyName_143	四天王ケトマン
EnemyName_144	四天王ノイマン
EnemyName_Glado	皇帝グラード
EnemyName_221	チョウサ兵ペトロフ
EnemyName_222	チョウサ兵ゴレロフ
EnemyName_223	チョウサ兵マニロフ
EnemyName_224	隊長シドロフ
EnemyName_225	チョウサ兵ロマキナ
EnemyName_226	チョウサ兵レスキナ
EnemyName_227	チョウサ兵マルキナ
EnemyName_228	隊長カニスキナ
EnemyName_233	トツゲキ兵オルロフ
EnemyName_234	コウサク兵コズロフ
EnemyName_235	トクシュ兵マロフ
EnemyName_236	隊長キーロフ
EnemyName_237	チョウサ兵ソコロフ
EnemyName_238	チョウサ兵カウロフ
EnemyName_239	チョウサ兵ブーロフ
EnemyName_240	隊長ナザロフ
EnemyName_249	チョウサ兵クドー
EnemyName_250	チョウサ兵ゴドー
EnemyName_251	チョウサ兵エンドー
EnemyName_252	隊長トードー
EnemyName_255	チョウサ兵ローゾフ
EnemyName_256	チョウサ兵ブーゾフ
EnemyName_257	チョウサ兵シゾフ
EnemyName_258	隊長モロゾフ
EnemyName_259	トツゲキ兵シュビン
EnemyName_260	コウサク兵トルビン
EnemyName_261	トクシュ兵グービン
EnemyName_262	隊長スクリャビン
EnemyName_263	チョウサ兵パブロワ
EnemyName_264	チョウサ兵ヤムキン
EnemyName_265	チョウサ兵ハフキン
EnemyName_266	チョウサ兵モロキン
EnemyName_267	隊長プーシキン
EnemyName_268	ランボルギーニン
EnemyName_271	呪術師セイメイ
EnemyName_197	トツゲキ兵ヤンゲリ
EnemyName_198	コウサク兵ムシェリ
EnemyName_199	トクシュ兵ペステリ
EnemyName_200	隊長ゴーゴリ
EnemyName_201	超トツゲキ兵ドラコ
EnemyName_202	超トクシュ兵タイガ
EnemyName_203	エリート兵グリエフ
EnemyName_204	エリート兵サラエフ
EnemyName_205	エリート兵ユリエフ
EnemyName_206	隊長ゲルギエフ
EnemyName_253	チョウサ兵アクバル
EnemyName_254	隊長ガンニバル
EnemyName_209	トツゲキ兵ロッセリ
EnemyName_210	コウサク兵ラッテリ
EnemyName_211	トクシュ兵バーベリ
EnemyName_212	隊長ステッセリ
EnemyName_213	エリート兵ベダレフ
EnemyName_214	エリート兵コムレフ
EnemyName_215	エリート兵カーレフ
EnemyName_216	隊長バラキレフ
EnemyName_217	電磁砲ニコノフ
EnemyName_218	所長チェレンコフ
EnemyName_269	チョウサ兵アヴェン
EnemyName_270	隊長ナディン
EnemyName_219	首領ワルーエフ
EnemyName_273	エリート兵マカロワ
EnemyName_276	隊長ジューコフ
EnemyName_Ablicos_00	アブリコス
EnemyName_Sosuna_00	ソスナ
EnemyName_279	エリート兵クライン
EnemyName_Yulia_00	ユーリア
EnemyName_Glado_00	グラード
EnemyName_282	隊長コスギン
EnemyName_Grom_00	グロム
EnemyName_Bambooque_00	バンブーク
EnemyName_285	エリート兵オオシゲ
EnemyName_286	電磁砲フェドロフ
EnemyName_Musashi	ムサシ
EnemyName_291	エリート兵レスコフ
EnemyName_294	エリート兵メビウス
EnemyName_297	エリート兵ユーギン
EnemyName_300	隊長ムラシゲ
EnemyName_C_001	トツゲキ兵タルノフ
EnemyName_C_002	コウサク兵クラノフ
EnemyName_C_003	トクシュ兵ペガノフ
EnemyName_C_004	隊長アクショノフ
EnemyName_C_005	チョウサ兵コスギン
EnemyName_C_006	トツゲキ兵ソルキン
EnemyName_C_007	コウサク兵ロトキン
EnemyName_C_008	トクシュ兵バラキン
EnemyName_C_009	隊長クロポトキン
EnemyName_C_010	チョウサ兵ユーギン
EnemyName_C_011	トツゲキ兵コスチナ
EnemyName_C_012	コウサク兵ニコチナ
EnemyName_C_013	トクシュ兵チェチナ
EnemyName_C_014	隊長カーチナ
EnemyName_C_015	チョウサ兵マギン
EnemyName_C_016	トツゲキ兵アリエフ
EnemyName_C_017	コウサク兵カラエフ
EnemyName_C_018	トクシュ兵ベリエフ
EnemyName_C_019	隊長メンデレエフ
EnemyName_C_020	司令アクーギン
EnemyName_C_021	エリート兵ペトロフ
EnemyName_C_022	エリート兵ゴルロフ
EnemyName_C_023	エリート兵グーロフ
EnemyName_C_024	隊長ガブリロフ
EnemyName_C_025	電磁砲フェドロフ
StarGet_WinGod	%lsを使って勝利
StarGet_WinSushiEatMore	%d皿食べて勝利
StarGet_WinSushiEatLess	%d皿以内で勝利
StarGet_WinSushiEatKind	%d種類のネタを食べて勝利
StarGet_WinPile	%d皿以上つなげて勝利
StarGet_WinFavEat	好物を%d皿食べて勝利
StarGet_WinRainbow	虹皿を%d回作って勝利
StarGet_WinCombo	%dコンボ達成して勝利
StarGet_WinBreak	敵の皿を%d枚割って勝利
StarGet_WinSkill	スキルを%d回使って勝利
StarGet_WinSkill_sgl	スキルを%d回使って勝利
StarGet_WinLessSkill	スキル使用%d回以下で勝利
StarGet_WinLessSkill_sgl	スキル使用%d回以下で勝利
StarGet_WinNoSkill	スキルを使わずに勝利
StarGet_WinFes	スシ祭りを%d回起こして勝利
StarGet_WinFes_sgl	スシ祭りを%d回起こして勝利
StarGet_WinHpMore	HP%d％以上を残して勝利
StarGet_WinTimeLess	%d秒以内に勝利
StarGet_WinScoreMore	スコア%d以上で勝利
StarGet_RankA	ランクA以上を取って勝利
StarGet_RankB	ランクB以上を取って勝利
StarGet_OnlyAutoShoot	自動シュートのみで勝利
StarGet_WinLastAtk	とどめのアタック%d以上
StarGet_WinPileLess	%d皿以上高く積まずに勝利
StarGet_WinAutoShootLess	自動シュート%d回以下で勝利
StarGet_WinRecover	HPを%d以上回復して勝利
StarGet_WinWithoutGod	%lsを入れずに勝利
GodSkillName_Double	倍々シュート
GodSkillName_EnemyLaneSpd	暴走特急レーン
GodSkillName_SweetsHeaven	スイーツ天国
GodSkillName_100Free	百連皿
GodSkillName_Skeleton	透明ライカー
GodSkillName_Wasabi	ワサビ大サービス
GodSkillName_Oke	じゃまオケ地獄
GodSkillName_ShockShoot	電撃シュート
GodSkillName_BarrierShield	バリアシールド
GodSkillName_EatVacuum	バキューム食い
GodSkillName_YoursIsMine	お前のスシは俺のスシ
GodSkillName_AddInsidiouslyDish	いつの間に追加皿
GodSkillName_SkillCharge	超速スキルチャージ
GodSkillName_DishRankEne	皿色グレードダウン
GodSkillName_LaneSpdAll	ダブル急行レーン
GodSkillName_SkillUseNgAll	両陣スキル禁止令
GodSkillName_SkillUseNgEne	敵陣スキル禁止令
GodSkillName_DishAtkUp	皿クラッシャー
GodSkillName_DirectAttack	グレートアロー
GodSkillName_LifeHunter	ライフハンター
GodSkillName_EatMyway	マイウェイ食い
GodSkillName_SoulShoot	ソウルシュート
GodSkillName_SkillGaugeHunt	スキルパワーハンター
GodSkillName_FesHunt	お祭りハンター
GodSkillName_TableBreak	テーブルアロー
GodSkillName_TableDishLifeup	つみ皿超回復
GodSkillName_ComboBonus	コンボキャンペーン
GodSkillName_NgAutoShoot	自動シュート封印
GodSkillName_DamageReflection	全力しっぺ返し
GodSkillName_RobSheld	ぶんどりシールド
GodSkillName_FruitsParadise	フルーツパラダイス
GodSkillName_HpChange	運命交換
GodSkillName_SkillTerminate	スキルクリーン
GodSkillName_CmnMonopoly	独占共通レーン
GodSkillName_SkillCopy	スキルコピー
GodSkillName_DishInvisible	漆黒皿
GodSkillName_DishWall	八皿ウォール
GodSkillName_LivemonitorOwn	スーパースター
GodSkillName_LivemonitorEne	スーパースカウト
GodSkillName_ShockShoot2	雷撃シュート
GodSkillName_SushiDisappear	スシ消え～る
GodSkillName_LaneHighClass	高級ライカー
GodSkillName_LaneFill	スシ詰め天国
GodSkillName_LightClothes	ヒカリノコロモ
GodSkillName_ShrineBlind	絶望の壁
GodSkillName_SushiShuffleer	スシシャッフラー
GodSkillName_BombSend	ボムおく～る
GodSkillName_TubConveyor	オケ狭間の戦い
GodSkillName_DishReducer	皿ちぢ～む
GodSkillName_LaneLowClass	お手ごろライカー
GodSkillName_ComboWall	コンボウォール
ItemName_Burner	あぶりバーナー
ItemName_OhudaExpS	けいけんのおふだ小
ItemName_OhudaExpM	けいけんのおふだ中
ItemName_OhudaExpL	けいけんのおふだ大
ItemName_OhudaDefS	まもりのおふだ小
ItemName_OhudaDefM	まもりのおふだ中
ItemName_OhudaDefL	まもりのおふだ大
ItemName_OhudaSkill	スキルのおふだ
ItemName_OhudaSkillC	スキルのおふだ大
ItemName_PlayerHpS	スタミナのかんづめ
ItemName_PlayerAtkS	ちからのかんづめ
ItemName_GearHero	スシライカーズギア
ItemName_GearSuper	スーパーギア
ItemName_GearHyper	ハイパーギア
ItemName_GearUltimate	アルティメットギア
ItemName_GearStream	ストリームギア
ItemName_GearQuick	クイックギア
ItemName_GearLittle	リトルギア
ItemName_ReadyRetryS	ふっかつのまめ小
ItemName_ReadyRetryM	ふっかつのまめ中
ItemName_ReadyRetryL	ふっかつのまめ大
ItemName_ReadyRetryC	超ふっかつのまめ
ItemName_ScenarioSukajan	スカジャン
ItemName_ScenarioDictionary	スシガミ大百科
ItemName_ScenarioHelp	スシライカー虎の巻
ItemName_ScenarioKey01	アブリコスのカギ
ItemName_ScenarioKey02	バンブークのカギ
ItemName_ScenarioKey03	ソスナのカギ
ItemName_Stone	ふしぎな石
ItemName_StoneBig	ふしぎな丸石
ItemName_OhudaPT	パーティーのおふだ
ItemName_LimitOverScore	修行の黒帯
ItemName_ResearchDoc	ひみつの研究資料
ItemName_ContractDish00	みけいやくの皿
ItemName_ContractDish01	みけいやくの皿
ItemName_ContractDish02	みけいやくの皿
ItemName_ContractDish03	みけいやくの皿
ItemName_ContractDish04	みけいやくの皿
ItemName_ContractDish05	みけいやくの皿
ItemName_ContractDish06	みけいやくの皿
ItemName_ContractDish07	みけいやくの皿
ItemName_ContractDish08	みけいやくの皿
ItemName_ContractDish09	みけいやくの皿
ItemName_ContractDish10	みけいやくの皿
ItemName_ContractDish11	みけいやくの皿
ItemName_ContractDish12	みけいやくの皿
ItemName_Burner_lc	あぶりバーナー
ItemName_PlayerHpS_lc	スタミナのかんづめ
ItemName_PlayerAtkS_lc	ちからのかんづめ
ItemName_GearSuper_lc	スーパーギア
ItemName_GearStream_lc	ストリームギア
ItemName_ReadyRetryS_lc	ふっかつのまめ小
ItemName_ReadyRetryM_lc	ふっかつのまめ中
ItemName_ReadyRetryL_lc	ふっかつのまめ大
ItemName_ReadyRetryC_lc	超ふっかつのまめ
ItemName_LimitOverScore_lc	修行の黒帯
ItemName_ContractDish00_lc	みけいやくの皿
ItemName_ContractDish01_lc	みけいやくの皿
ItemName_ContractDish02_lc	みけいやくの皿
ItemName_ContractDish03_lc	みけいやくの皿
ItemName_ContractDish04_lc	みけいやくの皿
ItemName_ContractDish05_lc	みけいやくの皿
ItemName_ContractDish06_lc	みけいやくの皿
ItemName_ContractDish07_lc	みけいやくの皿
ItemName_ContractDish08_lc	みけいやくの皿
ItemName_ContractDish09_lc	みけいやくの皿
ItemName_ContractDish10_lc	みけいやくの皿
ItemName_ContractDish11_lc	みけいやくの皿
ItemName_ContractDish12_lc	みけいやくの皿
ItemName_CollaboTicket	チャレンジけん
ItemName_CollaboItem01	まぐろラッコのまぐろ
ItemName_CollaboItem02	スシローのおふだ
ItemName_CollaboItem03	スシローのおまもり
ItemName_CollaboTicket_lc	チャレンジけん
ItemName_CollaboItem01_lc	まぐろラッコのまぐろ
ItemName_CollaboItem02_lc	スシローのおふだ
ItemName_CollaboItem03_lc	スシローのおまもり
GodName_God001	ジンライ
GodName_God002	ジンライ
GodName_God003	ジンライ
GodName_God004	アラオウ
GodName_God005	アラオウ
GodName_God007	キャッテン
GodName_God008	キャッテン
GodName_God010	クマテン
GodName_God011	クマテン
GodName_God012	クマテン
GodName_God013	ユニカン
GodName_God014	ユニカン
GodName_God016	ペンゾー
GodName_God017	ペンゾー
GodName_God018	ペンゾー
GodName_God019	オルテン
GodName_God020	オルテン
GodName_God022	サボカン
GodName_God023	サボカン
GodName_God025	ピョンテン
GodName_God026	ピョンテン
GodName_God027	ピョンテン
GodName_God028	イナゾー
GodName_God029	イナゾー
GodName_God031	モグゾー
GodName_God034	ゴクオウ
GodName_God035	ゴクオウ
GodName_God037	スイテン
GodName_God038	スイテン
GodName_God042	ゴウライ
GodName_God043	トラゾー
GodName_God044	トラゾー
GodName_God045	トラゾー
GodName_God046	クリステン
GodName_God047	クリステン
GodName_God048	クリステン
GodName_God049	ホノカン
GodName_God050	ホノカン
GodName_God051	ホノカン
GodName_God052	チェリカン
GodName_God053	チェリカン
GodName_God054	チェリカン
GodName_God055	ロズカン
GodName_God056	ロズカン
GodName_God057	ロズカン
GodName_God058	リュウカン
GodName_God059	リュウカン
GodName_God060	リュウカン
GodName_God061	エレカン
GodName_God062	エレカン
GodName_God063	エレカン
GodName_God064	ボンテン
GodName_God065	ボンテン
GodName_God066	ボンテン
GodName_God067	バッテン
GodName_God068	バッテン
GodName_God069	バッテン
GodName_God070	ドルカン
GodName_God071	ドルカン
GodName_God073	ホウテン
GodName_God074	ホウテン
GodName_God076	カズラサツ
GodName_God077	カズラサツ
GodName_God079	ユキゾー
GodName_God080	ユキゾー
GodName_God082	スノゾー
GodName_God083	スノゾー
GodName_God085	ガロオウ
GodName_God086	ガロオウ
GodName_God088	カメレサツ
GodName_God089	カメレサツ
GodName_God091	ウッソー
GodName_God094	ケロゾー
GodName_God097	ギュウゾー
GodName_God098	ギュウゾー
GodName_God100	マウソー
GodName_God103	ハッカン
GodName_God104	ハッカン
GodName_God106	コンカン
GodName_God107	コンカン
GodName_God109	カマオウ
GodName_God112	クラウゾー
GodName_God113	クラウゾー
GodName_God115	タケゾー
GodName_God116	タケゾー
GodName_God118	ゴレカン
GodName_God119	ゴレカン
GodName_God121	バケゾー
GodName_God122	バケゾー
GodName_God124	ヘルゾー
GodName_God125	ヘルゾー
GodName_God127	ノムゾー
GodName_God128	ノムゾー
GodName_God130	バクゾー
GodName_God131	バクゾー
GodName_God133	プラオウ
GodName_God134	プラオウ
GodName_God136	ポポカン
GodName_God137	ポポカン
GodName_God139	フェアテン
GodName_God140	フェアテン
GodName_God142	ワニオウ
GodName_God145	クロカン
GodName_God146	クロカン
GodName_God148	アヌビサツ
GodName_GodC001	まぐろラッコ
GodName_GodC002	いくらパンダ
GodName_GodC003	うにライオン
GodName_GodC004	いかタイガー
GodName_GodC005	えびウサギ
GodName_GodC006	たまコッコ
GodName_GodC007	サーモンしろくま
GodName_GodC008	クマねぎまぐろ
GodName_GodC009	くろねコーン
GodName_GodC010	タコひつじ
GodName_GodC011	はまちネコ
GodName_GodC012	あじカワウソ
GodName_GodC013	ポテトビーバー
SushiLikerRankName_00	初段
SushiLikerRankName_01	２段
SushiLikerRankName_02	３段
SushiLikerRankName_03	４段
SushiLikerRankName_04	５段
SushiLikerRankName_05	６段
SushiLikerRankName_06	７段
SushiLikerRankName_07	８段
SushiLikerRankName_08	９段
SushiLikerRankName_09	１０段
PlayerTitledName_00	共和国の少年
PlayerTitledName_00_f	共和国の少女
PlayerTitledName_01	かけだしスシライカー
PlayerTitledName_02	スシ解放戦線メンバー
PlayerTitledName_03	遊撃のスシライカー
PlayerTitledName_04	スシ解放戦線の希望
PlayerTitledName_05	魁のスシライカー
