\database\database_area.msbt
areaName_area01	{r[きょうわこく]}共和国{/r}
areaText_area05	{r[いちねん]}一年{/r}を{r[とお]}通{/r}して{r[ゆきぶか]}雪深{/r}い{r[やま]}山{/r}、{r[りっかさん]}六花山{/r}を\n{r[ちゅうしん]}中心{/r}とした{r[ちいき]}地域{/r}。{r[やま]}山{/r}を{r[こ]}越{/r}えた{r[さき]}先{/r}の\n{r[こじま]}小島{/r}には、{r[ていこくぐん]}帝国軍{/r}の{r[ひみつしせつ]}秘密施設{/r}が\nあると{r[い]}言{/r}われている…。
areaText_area06	{r[しんようじゅ]}針葉樹{/r}の{r[もり]}森{/r}を{r[き]}切{/r}り{r[ひら]}開{/r}いて{r[つく]}作{/r}られた\n{r[こうだい]}広大{/r}な{r[こくど]}国土{/r}は、テクノロジーと\nきびしい{r[とうせい]}統制{/r}で{r[はってん]}発展{/r}をとげた。\nその{r[とうぶ]}東部{/r}には{r[しゅと]}首都{/r}と{r[きゅうでん]}宮殿{/r}がある。
areaText_area06Sub	{r[ゆた]}豊{/r}かなスシ{r[しげん]}資源{/r}を{r[もと]}求{/r}めた{r[ていこく]}帝国{/r}が\n{r[なんしん]}南進{/r}して{r[しはいか]}支配下{/r}に{r[い]}入{/r}れた{r[とち]}土地{/r}。\n{r[なんたん]}南端{/r}にある{r[ぐんじしせつ]}軍事施設{/r}では、{r[ひみつ]}秘密{/r}の\n{r[けんきゅう]}研究{/r}が{r[おこな]}行{/r}われているという…。
areaText_area07	{r[ていこく]}帝国{/r}を{r[す]}統{/r}べる{r[こうてい]}皇帝{/r}の{r[きょじょう]}居城{/r}であり、\n{r[ていこくぐん]}帝国軍{/r}の{r[そうしれいぶ]}総司令部{/r}がおかれている\n{r[しっこく]}漆黒{/r}の{r[しろ]}城{/r}。{r[こらい]}古来{/r}より{r[つづ]}続{/r}く{r[こうていちょくぞく]}皇帝直属{/r}\nの{r[しんえいたい]}親衛隊{/r}によって{r[まも]}守{/r}られている。
areaText_area08	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}と{r[どうよう]}同様{/r}、スシ{r[しんこう]}信仰{/r}の\n{r[いせき]}遺跡{/r}が{r[のこ]}残{/r}る{r[ちい]}小{/r}さな{r[しま]}島{/r}。\n{r[むじん]}無人{/r}の{r[しま]}島{/r}のはずが、{r[さいきん]}最近{/r}ここで\n{r[なぞ]}謎{/r}の{r[ばくはつ]}爆発{/r}があったらしい…。
areaText_area50	{r[とつじょ]}突如{/r}、{r[うみ]}海{/r}のかなたに{r[あらわ]}現{/r}れた{r[しまじま]}島々{/r}…。\nしかし{r[ていこく]}帝国{/r}はそれをいち{r[はや]}早{/r}く{r[せんきょ]}占拠{/r}。\nその{r[じょうほう]}情報{/r}をキャッチしたムサシは、\n{r[しま]}島{/r}への{r[じょうりく]}上陸{/r}を{r[は]}果{/r}たすが…。
\database\database_cmn.msbt
SushiName_None	なし
SushiName_Kappa	カッパ{r[ま]}巻{/r}き
SushiFavPowerName_Kappa	カリウム
SushiFavPowerName_Kappa_lc	カリウム
SushiName_Tamago	たまご
SushiFavPowerName_Tamago	ビオチン
SushiFavPowerName_Tamago_lc	ビオチン
SushiName_Inari	いなりずし
SushiFavPowerName_Inari	モリブデン
SushiFavPowerName_Inari_lc	モリブデン
SushiName_CornWarship	コーン{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_CornWarship	リノールサン
SushiFavPowerName_CornWarship_lc	リノールサン
SushiName_Aji	アジ
SushiFavPowerName_Aji	イノシンサン
SushiFavPowerName_Aji_lc	イノシンサン
SushiName_Ika	いか
SushiFavPowerName_Ika	リジン
SushiFavPowerName_Ika_lc	リジン
SushiName_Salmon	サーモン
SushiFavPowerName_Salmon	アスタキサンチン
SushiFavPowerName_Salmon_lc	アスタキサンチン
SushiName_EbimayoWarship	えびマヨ{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_EbimayoWarship	ナトリウム
SushiFavPowerName_EbimayoWarship_lc	ナトリウム
SushiName_Ebi	えび
SushiFavPowerName_Ebi	アルギニン
SushiFavPowerName_Ebi_lc	アルギニン
SushiName_Tako	たこ
SushiFavPowerName_Tako	コバラミン
SushiFavPowerName_Tako_lc	コバラミン
SushiName_NegitoroWarship	ねぎとろ{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_NegitoroWarship	アスコルビンサン
SushiFavPowerName_NegitoroWarship_lc	アスコルビンサン
SushiName_Katuo	かつお
SushiFavPowerName_Katuo	テツブン
SushiFavPowerName_Katuo_lc	テツブン
SushiName_SalmonRoast	あぶりサーモン
SushiFavPowerName_SalmonRoast	アスタキサンチンZ
SushiFavPowerName_SalmonRoast_lc	アスタキサンチンZ
SushiName_Buri	ぶり
SushiFavPowerName_Buri	ディーエイチエー
SushiFavPowerName_Buri_lc	ディーエイチエー
SushiName_CaliforniaRoll	カリフォルニアロール
SushiFavPowerName_CaliforniaRoll	ヨード
SushiFavPowerName_CaliforniaRoll_lc	ヨード
SushiName_Bintoro	びんとろ
SushiFavPowerName_Bintoro	ナイアシン
SushiFavPowerName_Bintoro_lc	ナイアシン
SushiName_Engawa	えんがわ
SushiFavPowerName_Engawa	リボフラビン
SushiFavPowerName_Engawa_lc	リボフラビン
SushiName_EbiRoast	あぶりえび
SushiFavPowerName_EbiRoast	アルギニンZ
SushiFavPowerName_EbiRoast_lc	アルギニンZ
SushiName_Hotate	ホタテ
SushiFavPowerName_Hotate	タウリン
SushiFavPowerName_Hotate_lc	タウリン
SushiName_Amaebi	あまえび
SushiFavPowerName_Amaebi	αトコフェロール
SushiFavPowerName_Amaebi_lc	αトコフェロール
SushiName_Maguro	まぐろ
SushiFavPowerName_Maguro	ヒスチジン
SushiFavPowerName_Maguro_lc	ヒスチジン
SushiName_Ebitenroll	えび{r[てん]}天{/r}ロール
SushiFavPowerName_Ebitenroll	セレン
SushiFavPowerName_Ebitenroll_lc	セレン
SushiName_EngawaRoast	あぶりえんがわ
SushiFavPowerName_EngawaRoast	リボフラビンZ
SushiFavPowerName_EngawaRoast_lc	リボフラビンZ
SushiName_Anago	あなご
SushiFavPowerName_Anago	レチノール
SushiFavPowerName_Anago_lc	レチノール
SushiName_ShirasuWarship	{r[なま]}生{/r}しらす{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_ShirasuWarship	カルシウム
SushiFavPowerName_ShirasuWarship_lc	カルシウム
SushiName_Torosalmon	トロサーモン
SushiFavPowerName_Torosalmon	アスタキサンチンX
SushiFavPowerName_Torosalmon_lc	アスタキサンチンX
SushiName_Rainbowroll	レインボーロール
SushiFavPowerName_Rainbowroll	オレインサン
SushiFavPowerName_Rainbowroll_lc	オレインサン
SushiName_HotateRoast	あぶりホタテ
SushiFavPowerName_HotateRoast	タウリンZ
SushiFavPowerName_HotateRoast_lc	タウリンZ
SushiName_Ikura	いくら{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_Ikura	チアミン
SushiFavPowerName_Ikura_lc	チアミン
SushiName_Kinmedai	きんめだい
SushiFavPowerName_Kinmedai	リン
SushiFavPowerName_Kinmedai_lc	リン
SushiName_Tarabagani	かに
SushiFavPowerName_Tarabagani	グルタミンサン
SushiFavPowerName_Tarabagani_lc	グルタミンサン
SushiName_Unagi	うなぎ
SushiFavPowerName_Unagi	アエン
SushiFavPowerName_Unagi_lc	アエン
SushiName_Uni	うに{r[ぐんかん]}軍艦{/r}
SushiFavPowerName_Uni	ヨウサン
SushiFavPowerName_Uni_lc	ヨウサン
SushiName_BotanEbi	ぼたんえび
SushiFavPowerName_BotanEbi	クロム
SushiFavPowerName_BotanEbi_lc	クロム
SushiName_Chuutoro	{r[ちゅう]}中{/r}トロ
SushiFavPowerName_Chuutoro	ピリドキシン
SushiFavPowerName_Chuutoro_lc	ピリドキシン
SushiName_Ootoro	{r[おお]}大{/r}トロ
SushiFavPowerName_Ootoro	イーピーエー
SushiFavPowerName_Ootoro_lc	イーピーエー
SushiName_LegendTorosalmon	{r[でんせつ]}伝説{/r}のトロサーモン
SushiFavPowerName_LegendTorosalmon	パントテンサン
SushiFavPowerName_LegendTorosalmon_lc	パントテンサン
SushiName_Mikan	カットオレンジ
SushiName_Strawberry	いちご
SushiName_PineCut	カットパイン
SushiName_MelonCut	カットメロン
SushiName_KiwiCut	カットキウイ
SushiName_MangoCut	カットマンゴー
SushiName_Melon	{r[こうきゅう]}高級{/r}メロン
SushiName_FruitsAssort	{r[も]}盛{/r}り{r[あ]}合{/r}わせフルーツ
DishColorName00	ミズイロ
DishColorName01	キイロ
DishColorName02	ムラサキ
DishColorName03	ミドリ
DishColorName04	アオ
DishColorName05	アカ
DishColorName06	ギン
DishColorName07	クロ
DishColorName08	キン
EnemyName_Ablicos	{r[しょうぐん]}将軍{/r}アブリコス
EnemyName_001	テイコク{r[へい]}兵{/r}イワノフ
EnemyName_002	{r[たいちょう]}隊長{/r}レオノフ
EnemyName_Kojiro_00	コジロー
EnemyName_004	テイコク{r[へい]}兵{/r}コブリン
EnemyName_005	テイコク{r[へい]}兵{/r}クドリン
EnemyName_006	テイコク{r[へい]}兵{/r}カレリン
EnemyName_007	{r[たいちょう]}隊長{/r}ガガーリン
EnemyName_Ryoma	リョーマ
EnemyName_009	トツゲキ{r[へい]}兵{/r}ボルチン
EnemyName_010	コウサク{r[へい]}兵{/r}ザモチン
EnemyName_011	トクシュ{r[へい]}兵{/r}バフチン
EnemyName_012	{r[たいちょう]}隊長{/r}パカーチン
EnemyName_Kojiro	テイコク{r[へい]}兵{/r}コジロー
EnemyName_014	トツゲキ{r[へい]}兵{/r}ペシコフ
EnemyName_015	コウサク{r[へい]}兵{/r}トンコフ
EnemyName_016	トクシュ{r[へい]}兵{/r}ゴリコフ
EnemyName_017	{r[たいちょう]}隊長{/r}ナボコフ
EnemyName_019	{r[しれいかん]}司令官{/r}ゴーリキー
EnemyName_Yulia	テイコク{r[へい]}兵{/r}ユーリア
EnemyName_021	トツゲキ{r[へい]}兵{/r}ウラノフ
EnemyName_022	コウサク{r[へい]}兵{/r}ミロノフ
EnemyName_023	トクシュ{r[へい]}兵{/r}サガノフ
EnemyName_024	{r[たいちょう]}隊長{/r}アントノフ
EnemyName_026	トツゲキ{r[へい]}兵{/r}コベキン
EnemyName_027	コウサク{r[へい]}兵{/r}パンキン
EnemyName_028	トクシュ{r[へい]}兵{/r}ブリキン
EnemyName_029	{r[たいちょう]}隊長{/r}ポチョムキン
EnemyName_032	トツゲキ{r[へい]}兵{/r}シデンコ
EnemyName_033	コウサク{r[へい]}兵{/r}ゴレンコ
EnemyName_034	トクシュ{r[へい]}兵{/r}リセンコ
EnemyName_035	{r[たいちょう]}隊長{/r}エロシェンコ
EnemyName_036	？？？
EnemyName_Charao	チャラオ
EnemyName_037	トツゲキ{r[へい]}兵{/r}ユスポワ
EnemyName_038	コウサク{r[へい]}兵{/r}ポポワ
EnemyName_039	トクシュ{r[へい]}兵{/r}シレポワ
EnemyName_040	{r[たいちょう]}隊長{/r}シャラポワ
EnemyName_042	トツゲキ{r[へい]}兵{/r}カザコフ
EnemyName_043	コウサク{r[へい]}兵{/r}ルイコフ
EnemyName_044	トクシュ{r[へい]}兵{/r}マルコフ
EnemyName_045	{r[たいちょう]}隊長{/r}カリンニコフ
EnemyName_047	トツゲキ{r[へい]}兵{/r}シャモワ
EnemyName_048	コウサク{r[へい]}兵{/r}クリモワ
EnemyName_049	トクシュ{r[へい]}兵{/r}ソモワ
EnemyName_050	{r[たいちょう]}隊長{/r}マクシモワ
EnemyName_Bambooque	{r[しょうぐん]}将軍{/r}バンブーク
EnemyName_053	トツゲキ{r[へい]}兵{/r}アラポフ
EnemyName_054	コウサク{r[へい]}兵{/r}カルポフ
EnemyName_055	トクシュ{r[へい]}兵{/r}トレポフ
EnemyName_056	{r[たいちょう]}隊長{/r}アンドロポフ
EnemyName_058	トツゲキ{r[へい]}兵{/r}ジン
EnemyName_059	コウサク{r[へい]}兵{/r}ダン
EnemyName_060	トクシュ{r[へい]}兵{/r}バン
EnemyName_061	{r[たいちょう]}隊長{/r}カシン
EnemyName_062	{r[でんじほう]}電磁砲{/r}トカレフ
EnemyName_063	トツゲキ{r[へい]}兵{/r}トルホフ
EnemyName_064	コウサク{r[へい]}兵{/r}オブホフ
EnemyName_065	トクシュ{r[へい]}兵{/r}スーホフ
EnemyName_066	{r[たいちょう]}隊長{/r}チェーホフ
EnemyName_067	{r[でんじほう]}電磁砲{/r}マカロフ
EnemyName_068	トツゲキ{r[へい]}兵{/r}ヤマモト
EnemyName_069	コウサク{r[へい]}兵{/r}アキモト
EnemyName_070	トクシュ{r[へい]}兵{/r}ミヤモト
EnemyName_071	{r[たいちょう]}隊長{/r}サカモト
EnemyName_Grom	{r[げんすい]}元帥{/r}グロム
EnemyName_074	トツゲキ{r[へい]}兵{/r}カリモフ
EnemyName_075	コウサク{r[へい]}兵{/r}アダモフ
EnemyName_076	トクシュ{r[へい]}兵{/r}ソロモフ
EnemyName_077	{r[たいちょう]}隊長{/r}アシモフ
EnemyName_079	トツゲキ{r[へい]}兵{/r}レスコフ
EnemyName_080	コウサク{r[へい]}兵{/r}ユーコフ
EnemyName_081	トクシュ{r[へい]}兵{/r}メンコフ
EnemyName_082	{r[たいちょう]}隊長{/r}マレンコフ
EnemyName_084	トツゲキ{r[へい]}兵{/r}クスミン
EnemyName_085	コウサク{r[へい]}兵{/r}ドレミン
EnemyName_086	トクシュ{r[へい]}兵{/r}テルミン
EnemyName_087	{r[たいちょう]}隊長{/r}リューミン
EnemyName_089	トツゲキ{r[へい]}兵{/r}アロノフ
EnemyName_090	コウサク{r[へい]}兵{/r}ロマノフ
EnemyName_091	トクシュ{r[へい]}兵{/r}レザノフ
EnemyName_092	{r[たいちょう]}隊長{/r}ストロガノフ
EnemyName_Sosuna	{r[しょうぐん]}将軍{/r}ソスナ
EnemyName_095	トツゲキ{r[へい]}兵{/r}ゲルマン
EnemyName_096	コウサク{r[へい]}兵{/r}ローマン
EnemyName_097	トクシュ{r[へい]}兵{/r}ベルマン
EnemyName_098	{r[たいちょう]}隊長{/r}ペレルマン
EnemyName_099	テイコク{r[へい]}兵{/r}イワノフ
EnemyName_100	トツゲキ{r[へい]}兵{/r}ペシコフ
EnemyName_101	コウサク{r[へい]}兵{/r}トンコフ
EnemyName_102	トクシュ{r[へい]}兵{/r}ゴリコフ
EnemyName_103	{r[たいちょう]}隊長{/r}ナボコフ
EnemyName_104	{r[えいへい]}衛兵{/r}ゴーリキー
EnemyName_106	トツゲキ{r[へい]}兵{/r}コベキン
EnemyName_107	コウサク{r[へい]}兵{/r}パンキン
EnemyName_108	トクシュ{r[へい]}兵{/r}ブリキン
EnemyName_109	{r[たいちょう]}隊長{/r}ポチョムキン
EnemyName_110	{r[かんしゅ]}看守{/r}ヴォルコフ
EnemyName_112	トツゲキ{r[へい]}兵{/r}レドネフ
EnemyName_113	コウサク{r[へい]}兵{/r}カメネフ
EnemyName_114	トクシュ{r[へい]}兵{/r}バラネフ
EnemyName_115	{r[たいちょう]}隊長{/r}ツルゲネフ
EnemyName_117	トツゲキ{r[へい]}兵{/r}ムロイ
EnemyName_118	コウサク{r[へい]}兵{/r}ルツコイ
EnemyName_119	トクシュ{r[へい]}兵{/r}マツイ
EnemyName_120	{r[たいちょう]}隊長{/r}トルストイ
EnemyName_121	{r[でんじほう]}電磁砲{/r}ステチキン
EnemyName_122	トツゲキ{r[へい]}兵{/r}アドロフ
EnemyName_123	コウサク{r[へい]}兵{/r}カルロフ
EnemyName_124	トクシュ{r[へい]}兵{/r}トポロフ
EnemyName_125	{r[たいちょう]}隊長{/r}カスパロフ
EnemyName_126	トツゲキ{r[へい]}兵{/r}ナカムラ
EnemyName_127	コウサク{r[へい]}兵{/r}ニシムラ
EnemyName_128	トクシュ{r[へい]}兵{/r}シマムラ
EnemyName_129	{r[たいちょう]}隊長{/r}ユキムラ
EnemyName_130	{r[でんじほう]}電磁砲{/r}ドラグノフ
EnemyName_132	トツゲキ{r[へい]}兵{/r}ヤン
EnemyName_133	コウサク{r[へい]}兵{/r}ルビン
EnemyName_134	トクシュ{r[へい]}兵{/r}リシン
EnemyName_135	{r[たいちょう]}隊長{/r}ラスプーチン
EnemyName_137	トツゲキ{r[へい]}兵{/r}シン
EnemyName_138	コウサク{r[へい]}兵{/r}ハポン
EnemyName_139	トクシュ{r[へい]}兵{/r}カーン
EnemyName_140	{r[たいちょう]}隊長{/r}アルスラン
EnemyName_141	{r[してんのう]}四天王{/r}サルマン
EnemyName_142	{r[してんのう]}四天王{/r}ラフマン
EnemyName_143	{r[してんのう]}四天王{/r}ケトマン
EnemyName_144	{r[してんのう]}四天王{/r}ノイマン
EnemyName_Glado	{r[こうてい]}皇帝{/r}グラード
EnemyName_221	チョウサ{r[へい]}兵{/r}ペトロフ
EnemyName_222	チョウサ{r[へい]}兵{/r}ゴレロフ
EnemyName_223	チョウサ{r[へい]}兵{/r}マニロフ
EnemyName_224	{r[たいちょう]}隊長{/r}シドロフ
EnemyName_225	チョウサ{r[へい]}兵{/r}ロマキナ
EnemyName_226	チョウサ{r[へい]}兵{/r}レスキナ
EnemyName_227	チョウサ{r[へい]}兵{/r}マルキナ
EnemyName_228	{r[たいちょう]}隊長{/r}カニスキナ
EnemyName_233	トツゲキ{r[へい]}兵{/r}オルロフ
EnemyName_234	コウサク{r[へい]}兵{/r}コズロフ
EnemyName_235	トクシュ{r[へい]}兵{/r}マロフ
EnemyName_236	{r[たいちょう]}隊長{/r}キーロフ
EnemyName_237	チョウサ{r[へい]}兵{/r}ソコロフ
EnemyName_238	チョウサ{r[へい]}兵{/r}カウロフ
EnemyName_239	チョウサ{r[へい]}兵{/r}ブーロフ
EnemyName_240	{r[たいちょう]}隊長{/r}ナザロフ
EnemyName_249	チョウサ{r[へい]}兵{/r}クドー
EnemyName_250	チョウサ{r[へい]}兵{/r}ゴドー
EnemyName_251	チョウサ{r[へい]}兵{/r}エンドー
EnemyName_252	{r[たいちょう]}隊長{/r}トードー
EnemyName_255	チョウサ{r[へい]}兵{/r}ローゾフ
EnemyName_256	チョウサ{r[へい]}兵{/r}ブーゾフ
EnemyName_257	チョウサ{r[へい]}兵{/r}シゾフ
EnemyName_258	{r[たいちょう]}隊長{/r}モロゾフ
EnemyName_259	トツゲキ{r[へい]}兵{/r}シュビン
EnemyName_260	コウサク{r[へい]}兵{/r}トルビン
EnemyName_261	トクシュ{r[へい]}兵{/r}グービン
EnemyName_262	{r[たいちょう]}隊長{/r}スクリャビン
EnemyName_263	チョウサ{r[へい]}兵{/r}パブロワ
EnemyName_264	チョウサ{r[へい]}兵{/r}ヤムキン
EnemyName_265	チョウサ{r[へい]}兵{/r}ハフキン
EnemyName_266	チョウサ{r[へい]}兵{/r}モロキン
EnemyName_267	{r[たいちょう]}隊長{/r}プーシキン
EnemyName_268	ランボルギーニン
EnemyName_271	{r[じゅじゅつし]}呪術師{/r}セイメイ
EnemyName_197	トツゲキ{r[へい]}兵{/r}ヤンゲリ
EnemyName_198	コウサク{r[へい]}兵{/r}ムシェリ
EnemyName_199	トクシュ{r[へい]}兵{/r}ペステリ
EnemyName_200	{r[たいちょう]}隊長{/r}ゴーゴリ
EnemyName_201	{r[〿ちょう]}超{/r}トツゲキ{r[へい]}兵{/r}ドラコ
EnemyName_202	{r[〿ちょう]}超{/r}トクシュ{r[へい]}兵{/r}タイガ
EnemyName_203	エリート{r[へい]}兵{/r}グリエフ
EnemyName_204	エリート{r[へい]}兵{/r}サラエフ
EnemyName_205	エリート{r[へい]}兵{/r}ユリエフ
EnemyName_206	{r[たいちょう]}隊長{/r}ゲルギエフ
EnemyName_253	チョウサ{r[へい]}兵{/r}アクバル
EnemyName_254	{r[たいちょう]}隊長{/r}ガンニバル
EnemyName_209	トツゲキ{r[へい]}兵{/r}ロッセリ
EnemyName_210	コウサク{r[へい]}兵{/r}ラッテリ
EnemyName_211	トクシュ{r[へい]}兵{/r}バーベリ
EnemyName_212	{r[たいちょう]}隊長{/r}ステッセリ
EnemyName_213	エリート{r[へい]}兵{/r}ベダレフ
EnemyName_214	エリート{r[へい]}兵{/r}コムレフ
EnemyName_215	エリート{r[へい]}兵{/r}カーレフ
EnemyName_216	{r[たいちょう]}隊長{/r}バラキレフ
EnemyName_217	{r[でんじほう]}電磁砲{/r}ニコノフ
EnemyName_218	{r[しょちょう]}所長{/r}チェレンコフ
EnemyName_269	チョウサ{r[へい]}兵{/r}アヴェン
EnemyName_270	{r[たいちょう]}隊長{/r}ナディン
EnemyName_219	{r[しゅりょう]}首領{/r}ワルーエフ
EnemyName_273	エリート{r[へい]}兵{/r}マカロワ
EnemyName_276	{r[たいちょう]}隊長{/r}ジューコフ
EnemyName_Ablicos_00	アブリコス
EnemyName_Sosuna_00	ソスナ
EnemyName_279	エリート{r[へい]}兵{/r}クライン
EnemyName_Yulia_00	ユーリア
EnemyName_Glado_00	グラード
EnemyName_282	{r[たいちょう]}隊長{/r}コスギン
EnemyName_Grom_00	グロム
EnemyName_Bambooque_00	バンブーク
EnemyName_285	エリート{r[へい]}兵{/r}オオシゲ
EnemyName_286	{r[でんじほう]}電磁砲{/r}フェドロフ
EnemyName_Musashi	ムサシ
EnemyName_291	エリート{r[へい]}兵{/r}レスコフ
EnemyName_294	エリート{r[へい]}兵{/r}メビウス
EnemyName_297	エリート{r[へい]}兵{/r}ユーギン
EnemyName_300	{r[たいちょう]}隊長{/r}ムラシゲ
EnemyName_C_001	トツゲキ{r[へい]}兵{/r}タルノフ
EnemyName_C_002	コウサク{r[へい]}兵{/r}クラノフ
EnemyName_C_003	トクシュ{r[へい]}兵{/r}ペガノフ
EnemyName_C_004	{r[たいちょう]}隊長{/r}アクショノフ
EnemyName_C_005	チョウサ{r[へい]}兵{/r}コスギン
EnemyName_C_006	トツゲキ{r[へい]}兵{/r}ソルキン
EnemyName_C_007	コウサク{r[へい]}兵{/r}ロトキン
EnemyName_C_008	トクシュ{r[へい]}兵{/r}バラキン
EnemyName_C_009	{r[たいちょう]}隊長{/r}クロポトキン
EnemyName_C_010	チョウサ{r[へい]}兵{/r}ユーギン
EnemyName_C_011	トツゲキ{r[へい]}兵{/r}コスチナ
EnemyName_C_012	コウサク{r[へい]}兵{/r}ニコチナ
EnemyName_C_013	トクシュ{r[へい]}兵{/r}チェチナ
EnemyName_C_014	{r[たいちょう]}隊長{/r}カーチナ
EnemyName_C_015	チョウサ{r[へい]}兵{/r}マギン
EnemyName_C_016	トツゲキ{r[へい]}兵{/r}アリエフ
EnemyName_C_017	コウサク{r[へい]}兵{/r}カラエフ
EnemyName_C_018	トクシュ{r[へい]}兵{/r}ベリエフ
EnemyName_C_019	{r[たいちょう]}隊長{/r}メンデレエフ
EnemyName_C_020	{r[しれい]}司令{/r}アクーギン
EnemyName_C_021	エリート{r[へい]}兵{/r}ペトロフ
EnemyName_C_022	エリート{r[へい]}兵{/r}ゴルロフ
EnemyName_C_023	エリート{r[へい]}兵{/r}グーロフ
EnemyName_C_024	{r[たいちょう]}隊長{/r}ガブリロフ
EnemyName_C_025	{r[でんじほう]}電磁砲{/r}フェドロフ
StarGet_WinGod	%lsを{r[つか]}使{/r}って{r[しょうり]}勝利{/r}
StarGet_WinSushiEatMore	%d皿{r[た]}食{/r}べて{r[しょうり]}勝利{/r}
StarGet_WinSushiEatLess	%d皿{r[いない]}以内{/r}で{r[しょうり]}勝利{/r}
StarGet_WinSushiEatKind	%d{r[しゅるい]}種類{/r}のネタを{r[た]}食{/r}べて{r[しょうり]}勝利{/r}
StarGet_WinPile	%d皿{r[いじょう]}以上{/r}つなげて{r[しょうり]}勝利{/r}
StarGet_WinFavEat	{r[こうぶつ]}好物{/r}を%d皿{r[た]}食{/r}べて{r[しょうり]}勝利{/r}
StarGet_WinRainbow	{r[にじざら]}虹皿{/r}を%d回{r[つく]}作{/r}って{r[しょうり]}勝利{/r}
StarGet_WinCombo	%dコンボ{r[たっせい]}達成{/r}して{r[しょうり]}勝利{/r}
StarGet_WinBreak	{r[てき]}敵{/r}の{r[さら]}皿{/r}を%d枚{r[わ]}割{/r}って{r[しょうり]}勝利{/r}
StarGet_WinSkill	スキルを%d回{r[つか]}使{/r}って{r[しょうり]}勝利{/r}
StarGet_WinSkill_sgl	スキルを%d回{r[つか]}使{/r}って{r[しょうり]}勝利{/r}
