\database\database_achieveInfo.msbt
AchieveName_001	Super Striker
areaText_area04Camp	The SLF's foothold in their\npush against the western\nEmpire. Things seem to be\nproceeding smoothly, but...
areaText_area05	Past the snow-capped hills\nis an island where the Empire\nsupposedly keeps a secret\nfacility filled with terrors.
areaText_area06	A vast region carved from\npine forests via advanced\ntechnology and firm rulership\nfrom the palace in the east.
areaText_area06Sub	The Empire annexed this\npeninsula for its rich sushi\nresources. Strange things are\nafoot at the southern tip...
areaText_area07	A shadowy castle housing the\nEmperor and his Imperial\nGuard. Doubles as the seat of\nImperial military power.
areaText_area08	This small island is host to\nancient sushi ruins and was\nuninhabited until recently.\nJust what is happening here?
\database\database_chapter.msbt
chapterName_chapter01	Chapter 1
chapterName_chapter02	Chapter 2
chapterName_chapter03	Chapter 3
chapterName_chapter04	Chapter 4
chapterName_chapter04_02	Chapter 4
chapterName_chapter05	Chapter 5
chapterName_chapter06	Chapter 6
chapterName_chapter06_02	Chapter 6
chapterName_chapter07	Chapter 7
chapterName_chapter08	Chapter 8
chapterName_chapter09	Chapter 9
\database\database_cmn.msbt
SushiName_None	None
SushiName_Kappa	Cucumber Roll
SushiFavPowerName_Kappa	Potassi-Yum
SushiFavPowerName_Kappa_lc	Potassi-Yum
SushiName_Tamago	Egg
SushiFavPowerName_Tamago	Bio-T
SushiFavPowerName_Tamago_lc	Bio-T
SushiName_Inari	Inari Sushi
SushiFavPowerName_Inari	Molyb-D
SushiFavPowerName_Inari_lc	Molyb-D
SushiName_CornWarship	Edamame
SushiFavPowerName_CornWarship	Lino-Ace
SushiFavPowerName_CornWarship_lc	Lino-Ace
SushiName_Aji	Horse Mackerel
SushiFavPowerName_Aji	Ino-Ace
SushiFavPowerName_Aji_lc	Ino-Ace
SushiName_Ika	Squid
SushiFavPowerName_Ika	Ly-C
SushiFavPowerName_Ika_lc	Ly-C
SushiName_Salmon	Salmon
SushiFavPowerName_Salmon	A-Tax
SushiFavPowerName_Salmon_lc	A-Tax
SushiName_EbimayoWarship	Creamy Shrimp
SushiFavPowerName_EbimayoWarship	Natri-Yum
SushiFavPowerName_EbimayoWarship_lc	Natri-Yum
SushiName_Ebi	Shrimp
SushiFavPowerName_Ebi	Arg-9
SushiFavPowerName_Ebi_lc	Arg-9
SushiName_Tako	Octopus
SushiFavPowerName_Tako	Cobal
SushiFavPowerName_Tako_lc	Cobal
SushiName_NegitoroWarship	Minced Tuna
SushiFavPowerName_NegitoroWarship	Asco-Ace
SushiFavPowerName_NegitoroWarship_lc	Asco-Ace
SushiName_Katuo	Bonito
SushiFavPowerName_Katuo	Iron
SushiFavPowerName_Katuo_lc	Iron
SushiName_SalmonRoast	Seared Salmon
SushiFavPowerName_SalmonRoast	A-Tax Z
SushiFavPowerName_SalmonRoast_lc	A-Tax Z
SushiName_Buri	Yellowtail
SushiFavPowerName_Buri	Omega D
SushiFavPowerName_Buri_lc	Omega D
SushiName_CaliforniaRoll	California Roll
SushiFavPowerName_CaliforniaRoll	Io-9
SushiFavPowerName_CaliforniaRoll_lc	Io-9
SushiName_Bintoro	Fatty Albacore Tuna
SushiFavPowerName_Bintoro	Nia-Zin
SushiFavPowerName_Bintoro_lc	Nia-Zin
SushiName_Engawa	Flounder
SushiFavPowerName_Engawa	Riboflavor
SushiFavPowerName_Engawa_lc	Riboflavor
SushiName_EbiRoast	Seared Shrimp
SushiFavPowerName_EbiRoast	Arg-9 Z
SushiFavPowerName_EbiRoast_lc	Arg-9 Z
SushiName_Hotate	Scallop
SushiFavPowerName_Hotate	Tor-9
SushiFavPowerName_Hotate_lc	Tor-9
SushiName_Amaebi	Sweet Shrimp
SushiFavPowerName_Amaebi	Alpha-Toc
SushiFavPowerName_Amaebi_lc	Alpha-Toc
SushiName_Maguro	Tuna
SushiFavPowerName_Maguro	Hist-9
SushiFavPowerName_Maguro_lc	Hist-9
SushiName_Ebitenroll	Shrimp Tempura Roll
SushiFavPowerName_Ebitenroll	Seleni-Yum
SushiFavPowerName_Ebitenroll_lc	Seleni-Yum
SushiName_EngawaRoast	Seared Flounder
SushiFavPowerName_EngawaRoast	Riboflavor Z
SushiFavPowerName_EngawaRoast_lc	Riboflavor Z
SushiName_Anago	Saltwater Eel
SushiFavPowerName_Anago	Retin-O
SushiFavPowerName_Anago_lc	Retin-O
SushiName_ShirasuWarship	Surf Clam
SushiFavPowerName_ShirasuWarship	Calci-Yum
SushiFavPowerName_ShirasuWarship_lc	Calci-Yum
SushiName_Torosalmon	Fatty Salmon
SushiFavPowerName_Torosalmon	Astax-X
SushiFavPowerName_Torosalmon_lc	Astax-X
SushiName_Rainbowroll	Rainbow Roll
SushiFavPowerName_Rainbowroll	Ole-Ace
SushiFavPowerName_Rainbowroll_lc	Ole-Ace
SushiName_HotateRoast	Seared Scallop
SushiFavPowerName_HotateRoast	Tor-9 Z
SushiFavPowerName_HotateRoast_lc	Tor-9 Z
SushiName_Ikura	Salmon Roe
SushiFavPowerName_Ikura	Thi-Min
SushiFavPowerName_Ikura_lc	Thi-Min
SushiName_Kinmedai	Red Sea Bream
SushiFavPowerName_Kinmedai	Phospho
SushiFavPowerName_Kinmedai_lc	Phospho
SushiName_Tarabagani	Crab
SushiFavPowerName_Tarabagani	Glut-Ace
SushiFavPowerName_Tarabagani_lc	Glut-Ace
SushiName_Unagi	Freshwater Eel
SushiFavPowerName_Unagi	Zink
SushiFavPowerName_Unagi_lc	Zink
SushiName_Uni	Sea Urchin
SushiFavPowerName_Uni	Fol-Ace
SushiFavPowerName_Uni_lc	Fol-Ace
SushiName_BotanEbi	Jumbo Shrimp
SushiFavPowerName_BotanEbi	Chromi-Yum
SushiFavPowerName_BotanEbi_lc	Chromi-Yum
SushiName_Chuutoro	Chu Toro Tuna
SushiFavPowerName_Chuutoro	P-Dox
SushiFavPowerName_Chuutoro_lc	P-Dox
SushiName_Ootoro	Otoro Tuna
SushiFavPowerName_Ootoro	Omega E
SushiFavPowerName_Ootoro_lc	Omega E
SushiName_LegendTorosalmon	Legendary Salmon
SushiFavPowerName_LegendTorosalmon	Panto-Ace
SushiFavPowerName_LegendTorosalmon_lc	Panto-Ace
SushiName_Mikan	Orange Slices
SushiName_Strawberry	Strawberries
SushiName_PineCut	Pineapple 
SushiName_MelonCut	Melon 
SushiName_KiwiCut	Kiwi
SushiName_MangoCut	Mango
SushiName_Melon	Lychee
SushiName_FruitsAssort	Fruit Plate
DishColorName00	Cyan
DishColorName01	Yellow
DishColorName02	Purple
DishColorName03	Green
DishColorName04	Blue
DishColorName05	Red
DishColorName06	Silver
DishColorName07	Black
DishColorName08	Gold
EnemyName_Ablicos	General Kodiak
EnemyName_001	Pvt. Unger
EnemyName_002	Cpt. Fammish
EnemyName_Kojiro_00	Kojiro
EnemyName_004	Pvt. Scraps
EnemyName_005	Pvt. Crumbles
EnemyName_006	Pvt. Growlin
EnemyName_007	Cpt. Starvey
EnemyName_Ryoma	Masa
EnemyName_009	Striker Nife
EnemyName_010	Saboteur Spoone
EnemyName_011	Specialist Forker
EnemyName_012	Cpt. Chops
EnemyName_Kojiro	Pvt. Kojiro
EnemyName_014	Striker Grisli
EnemyName_015	Saboteur Black
EnemyName_016	Specialist Blue
EnemyName_017	Cpt. Braun
EnemyName_019	Cmdr. Boyle
EnemyName_Yulia	Agent Celia
EnemyName_021	Striker Boll
EnemyName_022	Saboteur Sauspan
EnemyName_023	Specialist Potter
EnemyName_024	Cpt. Wock
EnemyName_026	Striker Kermode
EnemyName_027	Saboteur Pollar
EnemyName_028	Specialist Ursa
EnemyName_029	Cpt. Bergman
EnemyName_032	Striker Pantree
EnemyName_033	Saboteur Friezer
EnemyName_034	Specialist Fridge
EnemyName_035	Cpt. Kichun
EnemyName_036	???
EnemyName_Charao	Rio
EnemyName_037	Striker Kite
EnemyName_038	Saboteur Owel
EnemyName_039	Striker Caracara
EnemyName_040	Cpt. Hock
EnemyName_042	Striker Cooke
EnemyName_043	Saboteur Fries
EnemyName_044	Specialist Baker
EnemyName_045	Cpt. Rosted
EnemyName_047	Striker Bozzerd
EnemyName_048	Saboteur Vulcha
EnemyName_049	Specialist Harrier
EnemyName_050	Cpt. Eagel
EnemyName_Bambooque	General Ausprey
EnemyName_053	Striker Nosh
EnemyName_054	Saboteur Baitte
EnemyName_055	Specialist Morsel
EnemyName_056	Cpt. Nibel
EnemyName_058	Striker Angel
EnemyName_059	Saboteur Sixgill
EnemyName_060	Specialist Gulper
EnemyName_061	Cpt. Hammerhead
EnemyName_062	Gunner Raalgon
EnemyName_063	Striker Brekkfas
EnemyName_064	Saboteur Lunch
EnemyName_065	Specialist Dinner
EnemyName_066	Cpt. Brunch
EnemyName_067	Gunner Turette
EnemyName_068	Striker Bullhead
EnemyName_069	Saboteur Dogfish
EnemyName_070	Specialist Lantern
EnemyName_071	Cpt. Wobbegong
EnemyName_Grom	General Tiburon
EnemyName_074	Striker Oven
EnemyName_075	Saboteur Gryl
EnemyName_076	Specialist Stover
EnemyName_077	Cpt. Flambe
EnemyName_079	Striker Links
EnemyName_080	Saboteur Jagger
EnemyName_081	Specialist Kittin
EnemyName_082	Cpt. Lepard
EnemyName_084	Striker Dyner
EnemyName_085	Saboteur Pubb
EnemyName_086	Specialist Cafay
EnemyName_087	Cpt. Restron
EnemyName_089	Striker Kuga
EnemyName_090	Saboteur Chita
EnemyName_091	Specialist Taiga
EnemyName_092	Cpt. Leone
EnemyName_Sosuna	General Purrsilla
EnemyName_095	Striker Feese
EnemyName_096	Saboteur Bankwet
EnemyName_097	Specialist Buffay
EnemyName_098	Cpt. Smorgas
EnemyName_099	Pvt. Unger
EnemyName_100	Striker Grisli
EnemyName_101	Saboteur Black
EnemyName_102	Specialist Blue
EnemyName_103	Cpt. Braun
EnemyName_104	Warden Boyle
EnemyName_106	Striker Kermode
EnemyName_107	Saboteur Pollar
EnemyName_108	Specialist Ursa
EnemyName_109	Cpt. Bergman
EnemyName_110	Warden Sualo
EnemyName_112	Striker Braze
EnemyName_113	Saboteur Seard
EnemyName_114	Specialist Glaser
EnemyName_115	Cpt. Soss
EnemyName_117	Striker Bramble
EnemyName_118	Saboteur Sleeper
EnemyName_119	Specialist Sawfish
EnemyName_120	Cpt. Ribbontail
EnemyName_121	Gunner Morturr
EnemyName_122	Striker Yumm
EnemyName_123	Saboteur Tasti
EnemyName_124	Specialist Delish
EnemyName_125	Cpt. Savery
EnemyName_126	Striker Hardnose
EnemyName_127	Saboteur Mako
EnemyName_128	Specialist White
EnemyName_129	Cpt. Megalodon
EnemyName_130	Gunner Hawitser
EnemyName_132	Striker Spellman
EnemyName_133	Saboteur Kantripp
EnemyName_134	Specialist Heks
EnemyName_135	Cpt. Grimwar
EnemyName_137	Striker Wond
EnemyName_138	Saboteur Familyar
EnemyName_139	Specialist Roab
EnemyName_140	Cpt. Cornuthaum
EnemyName_141	Councillor Meyj
EnemyName_142	Councillor Sorser
EnemyName_143	Councillor Warloc
EnemyName_144	Councillor Wizird
EnemyName_Glado	Emperor Octavius
EnemyName_221	Surveyor Gorge
EnemyName_222	Surveyor Feed
EnemyName_223	Surveyor Guzzle
EnemyName_224	Cpt. Devower
EnemyName_225	Surveyor Falcone
EnemyName_226	Surveyor Shrike
EnemyName_227	Surveyor Aquila
EnemyName_228	Cpt. Raptorre
EnemyName_233	Striker Pooma
EnemyName_234	Saboteur Bohb
EnemyName_235	Specialist Margay
EnemyName_236	Cpt. Ossel
EnemyName_237	Surveyor Calary
EnemyName_238	Surveyor Protin
EnemyName_239	Surveyor Calseum
EnemyName_240	Cpt. Vitamen
EnemyName_249	Surveyor Brunch
EnemyName_250	Surveyor Picnik
EnemyName_251	Surveyor Snack
EnemyName_252	Cpt. Dessert
EnemyName_255	Surveyor Gutman
EnemyName_256	Surveyor Stumak
EnemyName_257	Surveyor Gullet
EnemyName_258	Cpt. Tung
EnemyName_259	Pvt. Gorman
EnemyName_260	Pvt. Fudie
EnemyName_261	Pvt. Pallat
EnemyName_262	Cpt. Gluttun
EnemyName_263	Surveyor Kestrel
EnemyName_264	Surveyor Atlas
EnemyName_265	Surveyor Sun
EnemyName_266	Surveyor Gobi
EnemyName_267	Surveyor Ussuri
EnemyName_268	Pandaber
EnemyName_271	Shaman Theurge
EnemyName_197	Striker Chomp
EnemyName_198	Saboteur Gnaw
EnemyName_199	Specialist Munch
EnemyName_200	Cpt. Chow
EnemyName_201	Striker Appenine
EnemyName_202	Specialist Moon
EnemyName_203	Lt. Napkin
EnemyName_204	Lt. Coster
EnemyName_205	Lt. Bibb
EnemyName_206	Cpt. Plasse-Maat
EnemyName_253	Surveyor Spatule
EnemyName_254	Cpt. Spork
EnemyName_209	Striker Cirver
EnemyName_210	Saboteur Someel
EnemyName_211	Specialist Wayter
EnemyName_212	Cpt. Sheff
EnemyName_213	Lt. Potluk
EnemyName_214	Lt. Leftov
EnemyName_215	Lt. Reheet
EnemyName_216	Cpt. Sekkons
EnemyName_217	Gunner Bazzuka
EnemyName_218	Chief Relish
EnemyName_269	Surveyor Cravin
EnemyName_270	Cpt. Nurish
EnemyName_219	Chief Eldritch
EnemyName_273	Lt. Teratorn
EnemyName_276	Cpt. Caracal
EnemyName_Ablicos_00	Kodiak
EnemyName_Sosuna_00	Purrsilla
EnemyName_279	Lt. Darry
EnemyName_Yulia_00	Celia
EnemyName_Glado_00	Octavius
EnemyName_282	Cpt. Gommi
EnemyName_Grom_00	Tiburon
EnemyName_Bambooque_00	Ausprey
EnemyName_285	Lt. Blackfin
EnemyName_286	Gunner Missill
EnemyName_Musashi	Musashi
EnemyName_291	Lt. Serval
EnemyName_294	Lt. Butcher
EnemyName_297	Lt. Teddy
EnemyName_300	Cpt. Combtooth
StarGet_WinGod	Use %ls and win.
StarGet_WinSushiEatMore	Eat %d or more plates and win.
StarGet_WinSushiEatLess	Eat %d or fewer plates and win.
StarGet_WinSushiEatKind	Eat %d or more types of sushi and win.
StarGet_WinPile	Link %d or more plates and win.
StarGet_WinFavEat	Eat %d or more plates of your favorite sushi.
StarGet_WinRainbow	Make %d or more glowing plates and win.
StarGet_WinCombo	Make %d or more combos and win.
StarGet_WinBreak	Break %d or more enemy plates and win.
StarGet_WinSkill	Use %d or more skills and win.
StarGet_WinSkill_sgl	Use %d or more skills and win.
StarGet_WinLessSkill	Use skills %d times or fewer and win.
StarGet_WinLessSkill_sgl	Use skills %d time or fewer and win.
StarGet_WinNoSkill	Win without using any skills.
StarGet_WinFes	Start %d or more sushi jubilees and win.
StarGet_WinFes_sgl	Start %d or more sushi jubilees and win.
StarGet_WinHpMore	Win with %d%% or more HP.
StarGet_WinTimeLess	Win in %d or fewer seconds.
StarGet_WinScoreMore	Win with a score of %d or more.
StarGet_RankA	Earn an A grade or better and win.
StarGet_RankB	Earn a B grade or better and win.
StarGet_OnlyAutoShoot	Win using only autoshoot attacks.
StarGet_WinLastAtk	Deal %d or more damage with a finishing attack.
StarGet_WinPileLess	Stack %d or fewer plates and win.
StarGet_WinAutoShootLess	Win using %d or fewer autoshoot attacks.
StarGet_WinRecover	Recover %d or more HP and win.
StarGet_WinWithoutGod	Win without using %ls.
GodSkillName_Double	Double Shot
GodSkillName_EnemyLaneSpd	Runaway Lanes
GodSkillName_SweetsHeaven	Sweets Paradise
GodSkillName_100Free	Sushi Bonanza
GodSkillName_Skeleton	Stealth Striker
GodSkillName_Wasabi	Wasabi Blast
GodSkillName_Oke	Tub Trouble
GodSkillName_ShockShoot	Electrozap
GodSkillName_BarrierShield	Sushi Shield
GodSkillName_EatVacuum	Buff Buffet
GodSkillName_YoursIsMine	What's Yours Is Mine
GodSkillName_AddInsidiouslyDish	Hidden Plates
GodSkillName_SkillCharge	Quick Skills
GodSkillName_DishRankEne	Plate Downgrade
GodSkillName_LaneSpdAll	Double-Edged Lanes
GodSkillName_SkillUseNgAll	Skill Ban
GodSkillName_SkillUseNgEne	Skill Severance
GodSkillName_DishAtkUp	Plate Breaker
GodSkillName_DirectAttack	Stick Chop
GodSkillName_LifeHunter	HP Hunter
GodSkillName_EatMyway	Plate Jumper
GodSkillName_SoulShoot	Soul Shot
GodSkillName_SkillGaugeHunt	Skill Hunter
GodSkillName_FesHunt	Jubilee Hunter
GodSkillName_TableBreak	Table Chop
GodSkillName_TableDishLifeup	Comeback Stack
GodSkillName_ComboBonus	Combo Bonus
GodSkillName_NgAutoShoot	Autoshoot Shutdown
GodSkillName_DamageReflection	Dish Served Cold
GodSkillName_RobSheld	Plate Plunder
GodSkillName_FruitsParadise	Fruit Paradise
GodSkillName_HpChange	HP Swap
GodSkillName_SkillTerminate	Clean Plate
GodSkillName_CmnMonopoly	Unshared Lane
GodSkillName_SkillCopy	Skill Copy
GodSkillName_DishInvisible	Blackout
GodSkillName_DishWall	8-Plate Wall
GodSkillName_LivemonitorOwn	Super Star
GodSkillName_LivemonitorEne	Super Scout
GodSkillName_ShockShoot2	Lightningzap
GodSkillName_SushiDisappear	Ghost Sushi
GodSkillName_LaneHighClass	Fancy Striker
GodSkillName_LaneFill	Sushi Refill
GodSkillName_LightClothes	Luxury Flash
GodSkillName_ShrineBlind	Claustrophobia
GodSkillName_SushiShuffleer	Sushi Shuffle
GodSkillName_BombSend	Bombs Away
GodSkillName_TubConveyor	Tubble-Edged Lanes
GodSkillName_DishReducer	Paper Plates
GodSkillName_LaneLowClass	Budget Striker
GodSkillName_ComboWall	Combo Wall
ItemName_Burner	Searing Torch
ItemName_OhudaExpS	EXP Charm S
ItemName_OhudaExpM	EXP Charm M
ItemName_OhudaExpL	EXP Charm L
ItemName_OhudaDefS	Guardian Charm S
ItemName_OhudaDefM	Guardian Charm M
ItemName_OhudaDefL	Guardian Charm L
ItemName_OhudaSkill	Skill Charm
ItemName_OhudaSkillC	Great Skill Charm
ItemName_PlayerHpS	Canned Stamina
ItemName_PlayerAtkS	Canned Power
ItemName_GearHero	Sushi Striker Gear
ItemName_GearSuper	Super Gear
ItemName_GearHyper	Hyper Gear
ItemName_GearUltimate	Ultimate Gear
ItemName_GearStream	Flowing Gear
ItemName_GearQuick	Variable Gear
ItemName_GearLittle	Little Gear
ItemName_ReadyRetryS	Small Renewal Bean
ItemName_ReadyRetryM	Renewal Bean
ItemName_ReadyRetryL	Big Renewal Bean
ItemName_ReadyRetryC	Great Renewal Bean
ItemName_ScenarioSukajan	Jacket
ItemName_ScenarioDictionary	Sushi Sprite Catalog
ItemName_ScenarioHelp	Secret Scroll
ItemName_ScenarioKey01	Kodiak's Key
ItemName_ScenarioKey02	Ausprey's Key
ItemName_ScenarioKey03	Purrsilla's Key
ItemName_Stone	Mysterious Stone
ItemName_StoneBig	weird round rock
ItemName_OhudaPT	Party Charm
ItemName_LimitOverScore	Training Black Belt
ItemName_ResearchDoc	Research Notes
ItemName_ContractDish00	Potential Plate
ItemName_ContractDish01	Potential Plate
ItemName_ContractDish02	Potential Plate
ItemName_ContractDish03	Potential Plate
ItemName_ContractDish04	Potential Plate
ItemName_ContractDish05	Potential Plate
ItemName_ContractDish06	Potential Plate
ItemName_ContractDish07	Potential Plate
ItemName_ContractDish08	Potential Plate
ItemName_ContractDish09	Potential Plate
ItemName_ContractDish10	Potential Plate
ItemName_ContractDish11	Potential Plate
ItemName_ContractDish12	Potential Plate
ItemName_Burner_lc	Searing Torch
ItemName_PlayerHpS_lc	Canned Stamina
ItemName_PlayerAtkS_lc	Canned Power
ItemName_GearSuper_lc	Super Gear
ItemName_GearStream_lc	Flowing Gear
ItemName_ReadyRetryS_lc	Small Renewal Bean
ItemName_ReadyRetryM_lc	Renewal Bean
ItemName_ReadyRetryL_lc	Big Renewal Bean
ItemName_ReadyRetryC_lc	Great Renewal Bean
ItemName_LimitOverScore_lc	Training Black Belt
ItemName_ContractDish00_lc	Potential Plate
ItemName_ContractDish01_lc	Potential Plate
ItemName_ContractDish02_lc	Potential Plate
ItemName_ContractDish03_lc	Potential Plate
ItemName_ContractDish04_lc	Potential Plate
ItemName_ContractDish05_lc	Potential Plate
ItemName_ContractDish06_lc	Potential Plate
ItemName_ContractDish07_lc	Potential Plate
ItemName_ContractDish08_lc	Potential Plate
ItemName_ContractDish09_lc	Potential Plate
ItemName_ContractDish10_lc	Potential Plate
ItemName_ContractDish11_lc	Potential Plate
ItemName_ContractDish12_lc	Potential Plate
GodName_God001	Jinrai
GodName_God002	Jinrai
GodName_God003	Jinrai
GodName_God004	Ara-o
GodName_God005	Ara-o
GodName_God007	Kyatten
GodName_God008	Kyatten
GodName_God010	Kumaten
GodName_God011	Kumaten
GodName_God012	Kumaten
GodName_God013	Unikan
GodName_God014	Unikan
GodName_God016	Penzo
GodName_God017	Penzo
GodName_God018	Penzo
GodName_God019	Owlten
GodName_God020	Owlten
GodName_God022	Sabokan
GodName_God023	Sabokan
GodName_God025	Pyonten
GodName_God026	Pyonten
GodName_God027	Pyonten
GodName_God028	Inazo
GodName_God029	Inazo
GodName_God031	Moguzo
GodName_God034	Sun-o
GodName_God035	Sun-o
GodName_God037	Suiten
GodName_God038	Suiten
GodName_God042	Gourai
GodName_God043	Tigazo
GodName_God044	Tigazo
GodName_God045	Tigazo
GodName_God046	Cryten
GodName_God047	Cryten
GodName_God048	Cryten
GodName_God049	Honokan
GodName_God050	Honokan
GodName_God051	Honokan
GodName_God052	Cherrykan
GodName_God053	Cherrykan
GodName_God054	Cherrykan
GodName_God055	Rosekan
GodName_God056	Rosekan
GodName_God057	Rosekan
GodName_God058	Dragokan
GodName_God059	Dragokan
GodName_God060	Dragokan
GodName_God061	Elekan
GodName_God062	Elekan
GodName_God063	Elekan
GodName_God064	Boneten
GodName_God065	Boneten
GodName_God066	Boneten
GodName_God067	Batten
GodName_God068	Batten
GodName_God069	Batten
GodName_God070	Dollkan
GodName_God071	Dollkan
GodName_God073	Hohten
GodName_God074	Hohten
GodName_God076	Kazurava
GodName_God077	Kazurava
GodName_God079	Yukizo
GodName_God080	Yukizo
GodName_God082	Snowzo
GodName_God083	Snowzo
GodName_God085	Garu-o
GodName_God086	Garu-o
GodName_God088	Chamelva
GodName_God089	Chamelva
GodName_God091	Uszo
GodName_God094	Kerozo
GodName_God097	Gyuzo
GodName_God098	Gyuzo
GodName_God100	Mouzo
GodName_God103	Hakkan
GodName_God104	Hakkan
GodName_God106	Konkan
GodName_God107	Konkan
GodName_God109	Kama-o
GodName_God112	Clouzo
GodName_God113	Clouzo
GodName_God115	Takezo
GodName_God116	Takezo
GodName_God118	Golekan
GodName_God119	Golekan
GodName_God121	Ghozo
GodName_God122	Ghozo
GodName_God124	Hellzo
GodName_God125	Hellzo
GodName_God127	Gnomzo
GodName_God128	Gnomzo
GodName_God130	Bakuzo
GodName_God131	Bakuzo
GodName_God133	Plasm-o
GodName_God134	Plasm-o
GodName_God136	Popokan
GodName_God137	Popokan
GodName_God139	Faeten
GodName_God140	Faeten
GodName_God142	Wani-o
GodName_God145	Crowkan
GodName_God146	Crowkan
GodName_God148	Anubiva
